LOCATION,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
SOUTH SHORE,2505 E. 73rd Street,CHICAGO,60649,1956,,,,,,,,,,,,1956
SULZER REGIONAL,4455 N. Lincoln Avenue,CHICAGO,60625,10540,,,,,,,,,,,,10540
TOMAN,2708 S. Pulaski Road,CHICAGO,60623,2813,,,,,,,,,,,,2813
UPTOWN,929 W. Buena Avenue,CHICAGO,60613,3428,,,,,,,,,,,,3428
VODAK-EAST SIDE,3710 E. 106th Street,CHICAGO,60617,2025,,,,,,,,,,,,2025
WALKER,11071 S. Hoyne Avenue,CHICAGO,60643,1221,,,,,,,,,,,,1221
WEST BELMONT,3104 N. Narragansett Avenue,CHICAGO,60634,1533,,,,,,,,,,,,1533
WEST CHICAGO AVENUE,4856 W. Chicago Avenue,CHICAGO,60651,2156,,,,,,,,,,,,2156
WEST ENGLEWOOD,1745 W. 63rd Street,CHICAGO,60636,2255,,,,,,,,,,,,2255
WEST LAWN,4020 W. 63rd Street,CHICAGO,60629,1869,,,,,,,,,,,,1869
WEST LOOP,122 N. Aberdeen Street,CHICAGO,60607,3312,,,,,,,,,,,,3312
WEST PULLMAN,830 W. 119th Street,CHICAGO,60643,3391,,,,,,,,,,,,3391
WEST TOWN,1625 W. Chicago Avenue,CHICAGO,60622,2993,,,,,,,,,,,,2993
"WHITNEY M. YOUNG, JR",7901 S. King Drive,CHICAGO,60619,3092,,,,,,,,,,,,3092
WOODSON REGIONAL,9525 S. Halsted Street,CHICAGO,60628,5968,,,,,,,,,,,,5968
WRIGHTWOOD-ASHBURN,8530 S. Kedzie Avenue,CHICAGO,60652,692,,,,,,,,,,,,692
