BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Manning,6 S. Hoyne Ave.,Chicago,60612,0,0,0,0,0,0,0,0,1239,2986,2780,2831,9836,2021
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,2301,1971,2789,2645,2533,2724,3199,3326,3447,3523,3402,3116,34976,2021
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,837,954,1097,1137,1137,1304,2303,0,930,1724,1237,950,13610,2021
Scottsdale,4101 W. 79th St.,Chicago,60652,1856,2117,1625,1598,3369,3596,4579,4124,3734,3768,3553,3513,37432,2021
Altgeld,955 E. 131st St.,Chicago,60827,339,270,412,470,724,998,1437,1397,162,155,1744,2652,10760,2021
Back of the Yards,2111 W. 47th St.,Chicago,60609,1440,1482,2382,1491,1948,1970,2560,2873,2283,2957,1877,2122,25385,2021
Rogers Park,6907 N. Clark St.,Chicago,60626,4179,4718,6600,5291,6506,5446,7667,7419,7437,8301,5635,6496,75695,2021
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,2594,2330,3215,2816,2705,3375,3626,3139,3204,3526,3122,3419,37071,2021
King,3436 S. King Dr.,Chicago,60616,1209,1101,1481,1474,1480,1498,1711,1492,1329,1403,1845,1362,17385,2021
Water Works,163 E. Pearson Street,Chicago,60611,0,0,0,0,0,0,0,0,1024,3207,3365,2998,10594,2021
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,6556,6016,6788,5320,4750,5961,4218,5543,5565,4430,4142,4819,64108,2021
Humboldt Park,1605 N. Troy St.,Chicago,60647,2527,1962,2634,2570,2839,2915,3305,3375,3079,2853,2918,3115,34092,2021
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,13873,12812,16196,14320,14497,13147,15148,16132,15602,16374,12616,14660,175377,2021
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,3491,2572,4279,4316,4527,4822,5970,6237,5925,6649,6316,5906,61010,2021
North Austin,5724 W. North Ave.,Chicago,60639,1072,868,1262,1249,1350,1969,1864,1710,1428,1445,1318,1282,16817,2021
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,5058,4386,5771,5662,5382,6008,7148,7031,6210,6390,6078,5559,70683,2021
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,4915,4435,5858,5630,5764,7657,6967,7273,6874,7174,7287,6040,75874,2021
West Englewood,1745 W. 63rd St.,Chicago,60636,2038,1657,2047,1947,2211,2225,2467,3104,2958,3021,2759,2471,28905,2021
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2949,2857,3310,3325,2911,2244,2937,2993,2847,3095,2709,2488,34665,2021
Hegewisch,3048 E. 130th St.,Chicago,60633,1165,1081,1450,1507,1451,1523,1611,1428,1461,1568,1365,1362,16972,2021
Independence,4024 N. Elston Ave.,Chicago,60618,2412,2172,2554,2486,2490,2429,3039,3665,2963,2996,3033,2792,33031,2021
Lozano,1805 S. Loomis St.,Chicago,60608,3634,4546,3215,3959,7947,7910,4440,4323,3918,3171,4508,4158,55729,2021
South Shore,2505 E. 73rd St.,Chicago,60649,1066,868,1155,1514,1620,1486,1388,1819,1784,1682,1539,1580,17501,2021
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2963,2583,4102,6748,6209,7770,11264,11362,10363,11385,10353,8681,93783,2021
Douglass,3353 W. 13th St.,Chicago,60623,435,326,484,548,484,184,589,1165,1055,728,1152,895,8045,2021
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,7285,6269,7746,7003,6563,7634,8569,8214,7770,8685,8643,8307,92688,2021
Roden,6083 N. Northwest Hwy.,Chicago,60631,2759,2471,2950,2866,3285,4137,3952,3791,3381,3520,3261,3393,39766,2021
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,1954,1675,2323,2153,2225,3387,2728,2856,2847,3106,2967,2472,30693,2021
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,5015,4257,4969,5355,5364,4530,6287,5834,5961,6668,7070,5676,66986,2021
North Pulaski,4300 W. North Ave.,Chicago,60639,1669,1425,2190,1923,1980,2233,2466,2169,2284,2142,2088,2024,24593,2021
McKinley Park,1915 W. 35th St.,Chicago,60609,368,2793,3784,3621,3409,3679,4062,4369,4553,4392,4310,3795,43135,2021
Beverly,1962 W. 95th St.,Chicago,60643,1709,1221,1741,2081,1761,1816,2350,2000,1994,2178,2368,2237,23456,2021
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,477,359,424,629,650,1004,1326,1272,2427,2174,2179,2170,15091,2021
Toman,2708 S. Pulaski Rd.,Chicago,60623,1371,1155,1856,1554,1522,1842,1925,1662,1818,1645,1538,1675,19563,2021
Austin,5615 W. Race Ave.,Chicago,60644,2991,2412,3799,2957,2615,2946,2874,3083,2926,3171,3164,2383,35321,2021
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,2656,2338,3901,5630,4029,4227,4475,4328,3834,4061,4034,3429,46942,2021
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1302,1061,1682,1566,1533,1520,2795,2261,2105,2100,2194,1675,21794,2021
South Chicago,9055 S. Houston Ave.,Chicago,60617,768,1726,1866,2294,2737,2783,3409,3580,3375,2729,3142,2927,31336,2021
Clearing,6423 W. 63rd Pl.,Chicago,60638,440,380,1100,525,1535,0,455,1605,1515,1590,380,1152,10677,2021
Merlo,644 W. Belmont Ave.,Chicago,60657,4605,5611,6347,6577,7036,7657,7875,8351,8264,8694,7916,7274,86207,2021
Sherman Park,5440 S. Racine Ave.,Chicago,60609,1420,1264,1699,1644,1404,1707,1809,1824,1669,1587,1489,1321,18837,2021
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,2022
Bezazian,1226 W. Ainslie St.,Chicago,60640,0,5133,6393,7186,7870,5395,4471,3789,3907,3799,3932,3332,55207,2022
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1830,2462,3014,3406,3464,4946,3809,4064,4172,4579,4319,3511,43576,2022
West Loop,122 N. Aberdeen St.,Chicago,60607,2514,3085,4329,4306,4206,4264,4639,4826,4645,5246,5030,4047,51137,2022
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,3528,4252,5458,3774,3080,4827,5100,5297,5014,4880,4712,4723,54645,2022
South Chicago,9055 S. Houston Ave.,Chicago,60617,768,3114,3980,3881,3822,3374,4843,4842,4285,3607,3146,3328,42990,2022
Douglass,3353 W. 13th St.,Chicago,60623,435,1100,1456,1586,2803,0,4316,3921,3733,2738,1626,2256,25970,2022
Rogers Park,6907 N. Clark St.,Chicago,60626,4179,7092,8908,8827,8728,8624,8696,8916,9226,9380,9355,7431,99362,2022
Hegewisch,3048 E. 130th St.,Chicago,60633,1165,1194,1552,1612,1411,1841,1858,796,162,1156,1228,934,14909,2022
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,2594,2929,4083,3782,3370,5176,6041,4817,4982,3982,4529,3924,50209,2022
Toman,2708 S. Pulaski Rd.,Chicago,60623,1371,1163,1669,2198,2533,2390,2546,2364,1667,3009,2793,1942,25645,2022
Edgewater,6000 N. Broadway St.,Chicago,60660,7563,3509,8040,9664,8411,8531,9696,9588,8944,9539,8103,6262,97850,2022
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,837,977,1447,1657,1838,1769,1437,1760,2375,2391,2057,2125,20670,2022
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,1954,2396,3035,3054,2954,5544,3485,3898,3253,5245,6103,2923,43844,2022
Clearing,6423 W. 63rd Pl.,Chicago,60638,1505,918,1290,1290,730,575,870,1605,1440,1156,2425,1770,15574,2022
Chicago Bee,3647 S. State St.,Chicago,60609,512,900,1002,1086,1211,819,1074,993,1162,985,841,977,11562,2022
Humboldt Park,1605 N. Troy St.,Chicago,60647,2527,2725,3753,3867,4047,7297,4741,4958,3705,5676,3262,1665,48223,2022
Harold Washtington Library Center,400 S. State St.,Chicago,60605,39287,50081,64622,64754,60950,63316,71029,65825,61361,67126,50053,28348,686752,2022
West Lawn,4020 W. 63rd St.,Chicago,60629,1030,1345,2505,2815,2744,3798,4384,4067,3307,3516,3431,3531,36473,2022
Coleman,731 E. 63rd St.,Chicago,60637,3059,1540,4054,4297,4225,4162,4816,5462,2750,3187,2506,2270,42328,2022
Walker,11071 S. Hoyne Ave.,Chicago,60643,521,670,1255,613,964,948,1166,1146,1016,1157,996,1079,11531,2022
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2444,2794,3927,3810,3833,4635,4397,4968,4236,4369,4241,3423,47077,2022
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,6556,4072,3827,5137,5130,4408,4118,3433,3749,3686,2541,3656,50313,2022
Independence,4024 N. Elston Ave.,Chicago,60618,2412,2684,3171,3146,3002,5240,3752,3945,2903,3539,3887,2960,40641,2022
Pullman,11001 S. Indiana Ave.,Chicago,60628,1558,1705,2575,2990,3001,3175,3237,2752,3230,3605,3527,2684,34039,2022
Scottsdale,4101 W. 79th St.,Chicago,60652,1856,2867,3325,3356,3420,3392,3299,3403,3081,2995,3261,2832,37087,2022
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,5058,5714,7070,6613,6087,6615,8904,7810,6659,8755,7259,3437,79981,2022
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,2888,843,0,1247,5464,5435,6435,7667,7074,7100,6929,6161,57243,2022
Brainerd,1350 W. 89th St.,Chicago,60620,617,536,995,1088,1354,1147,1182,1215,1098,973,1301,836,12342,2022
Austin,5615 W. Race Ave.,Chicago,60644,2991,2312,3410,3486,1636,3883,5135,4145,3804,3918,3492,2982,41194,2022
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,2094,2577,3050,3280,3326,3379,3684,3675,3628,3621,3095,3206,38615,2022
Kelly,6151 S. Normal Blvd.,Chicago,60621,497,1461,2781,2587,2666,2834,2730,3343,2686,2867,2381,2093,28926,2022
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,2963,6955,11013,11999,13147,15962,16974,15109,13290,14005,11877,11473,144767,2022
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,1400,1478,1936,1857,1986,2399,2774,2313,1986,2448,1787,1715,24079,2022
West Town,1625 W. Chicago Ave.,Chicago,60622,3402,4726,5947,5530,4300,6246,6644,6767,5888,6537,6620,5791,68398,2022
North Austin,5724 W. North Ave.,Chicago,60639,1072,1337,1895,1979,1598,1587,2002,1939,1627,1770,1745,1435,19986,2022
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,4915,6552,8399,9454,9152,12512,10660,10414,8960,11785,17248,8067,118118,2022
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1270,1348,1896,1877,2016,2269,2449,2171,2043,2080,1928,617,21964,2022
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,2480,0,0,0,957,2086,2105,2049,1873,2150,2112,2154,17966,2022
Altgeld,955 E. 131st St.,Chicago,60827,339,822,3378,3231,3217,3466,4771,4217,4146,4613,3542,3204,38946,2022
Roden,6083 N. Northwest Hwy.,Chicago,60631,2759,3073,4268,4712,3858,8939,4562,4582,3794,8002,10121,3840,62510,2022
Uptown,929 W. Buena Ave.,Chicago,60613,4948,5325,6378,4801,0,1999,5785,6428,6106,6519,7091,5913,61293,2022
Water Works,163 E. Pearson Street,Chicago,60611,0,2774,4298,4501,4646,4801,5112,5035,4052,4194,3860,4321,47594,2022
Jeffery Manor,2401 E. 100th St.,Chicago,60617,2002,863,1226,1284,1448,1680,1790,1661,1171,1835,1724,1103,17787,2022
Edgebrook,5331 W. Devon Ave.,Chicago,60646,3693,4302,5447,5241,5187,6707,6437,6411,5317,5992,6298,5184,66216,2022
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,2656,3140,4490,4787,3951,4418,4460,4287,3526,3663,3926,2864,46168,2022
McKinley Park,1915 W. 35th St.,Chicago,60609,368,3624,4731,3942,4584,5238,5037,5458,4786,5641,4726,3761,51896,2022
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,3655,4516,3918,6239,5610,5815,6183,5996,5305,5491,4986,3678,61392,2022
Albany Park,3401 W. Foster Ave.,Chicago,60625,3419,6208,8004,6925,7068,6394,7005,6848,7061,6955,6719,6469,79075,2022
Lozano,1805 S. Loomis St.,Chicago,60608,3634,2311,3021,3780,3664,2693,3995,4508,4097,4777,5728,3121,45329,2022
Gage Park,2807 W. 55th St.,Chicago,60632,0,911,1586,1875,1633,1570,1470,1678,1131,2032,1620,1527,17033,2022
West Pullman,830 W. 119th St.,Chicago,60643,1216,944,1175,1734,1803,2282,1807,2090,2023,2377,6051,235,23737,2022
Sherman Park,5440 S. Racine Ave.,Chicago,60609,1420,1409,1846,2017,1786,1508,1434,1740,1263,1227,994,1009,17653,2022
West Englewood,1745 W. 63rd St.,Chicago,60636,2038,2281,2754,2423,2872,3403,2924,4282,2708,3534,3277,2499,34995,2022
North Pulaski,4300 W. North Ave.,Chicago,60639,1669,2052,2283,2413,2211,2444,2677,2876,2443,2487,2370,2419,28344,2022
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,608,808,1207,1140,1119,1591,1181,1474,1622,1513,2024,1087,15374,2022
Manning,6 S. Hoyne Ave.,Chicago,60612,0,2701,3653,3924,4531,3858,3653,3680,2974,3861,3523,2952,39310,2022
Beverly,1962 W. 95th St.,Chicago,60643,1709,1943,1403,99,0,1489,2773,2871,2592,2685,2490,2179,22233,2022
Northtown,6800 N. Western Ave.,Chicago,60645,5957,6137,8619,8090,8461,6614,4807,6426,5969,8492,9581,5326,84479,2022
Canaryville,642 W. 43rd St.,Chicago,60609,0,1427,1854,1894,33,0,736,1184,1038,957,887,950,10960,2022
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,3491,5724,7464,7252,7130,7061,6992,7065,7194,6380,5979,4894,76626,2022
Little Italy,1336 W. Taylor St.,Chicago,60607,2801,5665,8196,7564,7828,8215,7872,8699,8736,8458,7284,5633,86951,2022
Hall,4801 S. Michigan Ave.,Chicago,60615,0,2213,2716,2923,2996,2850,3200,3488,3003,3157,2555,2053,31154,2022
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,7285,8572,10957,10380,9038,9187,10600,11057,9856,10579,10006,9037,116554,2022
South Shore,2505 E. 73rd St.,Chicago,60649,1066,1178,1575,1544,1801,1576,2059,2264,1864,1936,1812,1508,20183,2022
King,3436 S. King Dr.,Chicago,60616,1209,1080,1639,1607,1652,1959,1793,1656,1532,1492,1404,1041,18064,2022
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1302,1552,1980,1826,1446,1715,1594,1623,1446,1441,1508,1388,18821,2022
Back of the Yards,2111 W. 47th St.,Chicago,60609,1440,1689,2689,2942,2729,2933,2717,2943,2816,3508,2576,2276,31258,2022
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2985,4007,4777,5025,4666,4188,5093,4747,3630,3639,3029,1950,47736,2022
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,3101,3642,4957,4893,4326,5147,5029,5149,4840,5656,5303,3944,55987,2022
Merlo,644 W. Belmont Ave.,Chicago,60657,4605,7379,10016,9522,9188,15221,8547,8701,7799,10197,12420,6551,110146,2022
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2949,2360,3250,3169,2896,4950,3198,3390,3329,4599,5054,2703,41847,2022
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,13873,15111,19899,18966,17119,14966,18748,19294,18776,21154,20568,16373,214847,2022
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,477,2056,3315,2875,3574,3276,3601,3442,3310,3346,3196,2539,35007,2022
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,2301,3072,3987,3828,3466,5573,4058,4024,3335,4621,5254,3156,46675,2022
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1417,1164,1631,1874,1817,3609,1048,1401,2117,5210,6950,1410,29648,2022
Vodak-East Side,3710 E. 106th St.,Chicago,60617,2007,2718,3749,4378,3420,3343,4703,4355,3761,4074,3700,2844,43052,2022
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,5015,5954,7115,7525,6111,11320,8472,8434,8088,7620,7122,3317,86093,2022
Near North,310 W. Division St.,Chicago,60610,4771,5815,4707,0,0,0,0,7086,10148,12716,9813,5974,61030,2022
Dunning,7455 W. Cornelia Ave.,Chicago,60634,4240,5603,6706,5857,6394,5177,7638,6869,6169,6495,5513,5443,72104,2022
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1250,1727,2959,3207,2356,3090,2871,3264,3017,3270,3264,2681,32956,2022
Walker,11071 S. Hoyne Ave.,Chicago,60643,1090,1914,2029,1754,1488,0,0,0,0,0,0,0,8275,2023
Albany Park,3401 W. Foster Ave.,Chicago,60625,6565,7308,6554,7159,7552,0,0,0,0,0,0,0,35138,2023
Avalon,8148 S. Stony Island Ave.,Chicago,60617,3345,3417,4169,3917,3614,0,0,0,0,0,0,0,18462,2023
Brainerd,1350 W. 89th St.,Chicago,60620,762,1023,1033,1397,1082,0,0,0,0,0,0,0,5297,2023
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4896,4824,5486,5025,4954,0,0,0,0,0,0,0,25185,2023
Little Italy,1336 W. Taylor St.,Chicago,60607,7679,7318,8778,8378,8675,0,0,0,0,0,0,0,40828,2023
Edgebrook,5331 W. Devon Ave.,Chicago,60646,5774,5827,6259,5770,5878,0,0,0,0,0,0,0,29508,2023
Kelly,6151 S. Normal Blvd.,Chicago,60621,2361,2276,2598,3035,2901,0,0,0,0,0,0,0,13171,2023
Edgewater,6000 N. Broadway St.,Chicago,60660,8408,8676,9075,10534,8299,0,0,0,0,0,0,0,44992,2023
Near North,310 W. Division St.,Chicago,60610,6661,11052,11254,10335,6868,0,0,0,0,0,0,0,46170,2023
Canaryville,642 W. 43rd St.,Chicago,60609,1228,1290,1720,1420,1275,0,0,0,0,0,0,0,6933,2023
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,1754,2150,3544,5498,4445,0,0,0,0,0,0,0,17391,2023
Manning,6 S. Hoyne Ave.,Chicago,60612,3272,3333,3536,3999,4068,0,0,0,0,0,0,0,18208,2023
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,4569,7520,9359,8386,7057,0,0,0,0,0,0,0,36891,2023
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1976,3628,4051,4577,2262,0,0,0,0,0,0,0,16494,2023
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,2850,2852,3992,3740,4183,0,0,0,0,0,0,0,17617,2023
Scottsdale,4101 W. 79th St.,Chicago,60652,2976,3537,3839,3764,3258,0,0,0,0,0,0,0,17374,2023
Altgeld,955 E. 131st St.,Chicago,60827,3342,3529,4242,4346,3959,0,0,0,0,0,0,0,19418,2023
West Lawn,4020 W. 63rd St.,Chicago,60629,2769,3212,3589,3999,3832,0,0,0,0,0,0,0,17401,2023
Back of the Yards,2111 W. 47th St.,Chicago,60609,2440,2529,3529,3525,3473,0,0,0,0,0,0,0,15496,2023
Rogers Park,6907 N. Clark St.,Chicago,60626,6634,7712,11081,10685,10224,0,0,0,0,0,0,0,46336,2023
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4670,4862,5640,5194,4791,0,0,0,0,0,0,0,25157,2023
King,3436 S. King Dr.,Chicago,60616,1208,1333,1377,1452,1640,0,0,0,0,0,0,0,7010,2023
Water Works,163 E. Pearson Street,Chicago,60611,3786,3634,4445,4120,4201,0,0,0,0,0,0,0,20186,2023
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,3948,4199,5000,4322,4013,0,0,0,0,0,0,0,21482,2023
Humboldt Park,1605 N. Troy St.,Chicago,60647,2134,4843,2767,2608,2404,0,0,0,0,0,0,0,14756,2023
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,19382,19383,22779,19675,20137,0,0,0,0,0,0,0,101356,2023
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6396,6111,8340,7206,7152,0,0,0,0,0,0,0,35205,2023
North Austin,5724 W. North Ave.,Chicago,60639,1632,1472,1880,1925,1831,0,0,0,0,0,0,0,8740,2023
West Town,1625 W. Chicago Ave.,Chicago,60622,6684,6765,8422,7309,6577,0,0,0,0,0,0,0,35757,2023
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,3641,6962,6465,5755,3924,0,0,0,0,0,0,0,26747,2023
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,9102,13927,14045,14697,7933,0,0,0,0,0,0,0,59704,2023
West Englewood,1745 W. 63rd St.,Chicago,60636,2120,2508,2557,2559,2582,0,0,0,0,0,0,0,12326,2023
Archer Heights,5055 S. Archer Ave.,Chicago,60632,3282,6377,6239,2610,737,0,0,0,0,0,0,0,19245,2023
Hegewisch,3048 E. 130th St.,Chicago,60633,1245,1501,1511,1577,1150,0,0,0,0,0,0,0,6984,2023
Independence,4024 N. Elston Ave.,Chicago,60618,3638,4542,4108,3993,3366,0,0,0,0,0,0,0,19647,2023
Lozano,1805 S. Loomis St.,Chicago,60608,3697,5999,5354,4991,4079,0,0,0,0,0,0,0,24120,2023
South Shore,2505 E. 73rd St.,Chicago,60649,1736,2083,2268,2369,2536,0,0,0,0,0,0,0,10992,2023
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,12943,12093,16430,16045,16491,0,0,0,0,0,0,0,74002,2023
Douglass,3353 W. 13th St.,Chicago,60623,2281,1605,1818,400,499,0,0,0,0,0,0,0,6603,2023
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10711,9805,12323,11115,10463,0,0,0,0,0,0,0,54417,2023
Roden,6083 N. Northwest Hwy.,Chicago,60631,4217,13491,13435,9104,4589,0,0,0,0,0,0,0,44836,2023
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3469,7391,6795,5312,3677,0,0,0,0,0,0,0,26644,2023
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,3662,5151,5208,5988,3646,0,0,0,0,0,0,0,23655,2023
North Pulaski,4300 W. North Ave.,Chicago,60639,2612,2322,2771,2719,2774,0,0,0,0,0,0,0,13198,2023
McKinley Park,1915 W. 35th St.,Chicago,60609,4587,7009,7157,5770,5816,0,0,0,0,0,0,0,30339,2023
West Pullman,830 W. 119th St.,Chicago,60643,2432,8510,7576,5448,2817,0,0,0,0,0,0,0,26783,2023
Beverly,1962 W. 95th St.,Chicago,60643,2724,2792,3527,2989,2642,0,0,0,0,0,0,0,14674,2023
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,2745,2781,3538,3476,3090,0,0,0,0,0,0,0,15630,2023
Toman,2708 S. Pulaski Rd.,Chicago,60623,2431,3178,2881,2383,2992,0,0,0,0,0,0,0,13865,2023
Austin,5615 W. Race Ave.,Chicago,60644,3335,3313,4077,4028,4296,0,0,0,0,0,0,0,19049,2023
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1625,12146,6312,4074,1851,0,0,0,0,0,0,0,26008,2023
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,3187,2839,3345,5012,4369,0,0,0,0,0,0,0,18752,2023
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1585,2201,2908,3110,2901,0,0,0,0,0,0,0,12705,2023
South Chicago,9055 S. Houston Ave.,Chicago,60617,3160,2950,3729,2989,3119,0,0,0,0,0,0,0,15947,2023
Clearing,6423 W. 63rd Pl.,Chicago,60638,1095,630,610,2935,480,0,0,0,0,0,0,0,5750,2023
Merlo,644 W. Belmont Ave.,Chicago,60657,8024,12599,13585,11985,8442,0,0,0,0,0,0,0,54635,2023
Uptown,929 W. Buena Ave.,Chicago,60613,6937,6885,7865,8517,7734,0,0,0,0,0,0,0,37938,2023
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,3320,3687,4129,4358,3964,0,0,0,0,0,0,0,19458,2023
Harold Washtington Library Center,400 S. State St.,Chicago,60605,31440,34144,37003,32806,39548,0,0,0,0,0,0,0,174941,2023
Brighton Park,4314 S. Archer Ave.,Chicago,60632,2346,3629,4285,4267,3130,0,0,0,0,0,0,0,17657,2023
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,1291,1499,2886,1989,1623,0,0,0,0,0,0,0,9288,2023
Little Village,2311 S. Kedzie Ave.,Chicago,60623,2402,3042,3836,3653,3665,0,0,0,0,0,0,0,16598,2023
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,7534,7608,8966,8509,7509,0,0,0,0,0,0,0,40126,2023
Gage Park,2807 W. 55th St.,Chicago,60632,1715,1511,3794,2243,1879,0,0,0,0,0,0,0,11142,2023
Northtown,6800 N. Western Ave.,Chicago,60645,6176,10135,9397,8077,6293,0,0,0,0,0,0,0,40078,2023
Dunning,7455 W. Cornelia Ave.,Chicago,60634,5224,5559,5898,6175,6047,0,0,0,0,0,0,0,28903,2023
Bezazian,1226 W. Ainslie St.,Chicago,60640,3766,3742,4305,4302,4027,0,0,0,0,0,0,0,20142,2023
West Loop,122 N. Aberdeen St.,Chicago,60607,5796,5291,6469,5617,5188,0,0,0,0,0,0,0,28361,2023
Pullman,11001 S. Indiana Ave.,Chicago,60628,2874,3466,3866,3738,3481,0,0,0,0,0,0,0,17425,2023
Jeffery Manor,2401 E. 100th St.,Chicago,60617,920,1797,1731,1890,1946,0,0,0,0,0,0,0,8284,2023
Hall,4801 S. Michigan Ave.,Chicago,60615,2360,2208,3020,2950,3310,0,0,0,0,0,0,0,13848,2023
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,2044,297,1227,2623,2433,0,0,0,0,0,0,0,8624,2023
Coleman,731 E. 63rd St.,Chicago,60637,2221,1750,1802,2812,2529,0,0,0,0,0,0,0,11114,2023
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,3165,3462,3438,3240,3052,0,0,0,0,0,0,0,16357,2023
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,4608,5169,7259,7072,6216,0,0,0,0,0,0,0,30324,2023
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,3169,5731,6439,5623,3694,0,0,0,0,0,0,0,24656,2023
Chicago Bee,3647 S. State St.,Chicago,60609,881,1022,1216,1197,1033,0,0,0,0,0,0,0,5349,2023
Vodak-East Side,3710 E. 106th St.,Chicago,60617,2632,3316,3622,3454,2704,0,0,0,0,0,0,0,15728,2023
Sherman Park,5440 S. Racine Ave.,Chicago,60609,964,1225,1200,1195,1107,0,0,0,0,0,0,0,5691,2023
