BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Walker,11071 S. Hoyne Ave.,Chicago,60643,1090,1914,2029,1754,1488,,,,,,,,8275,POINT (-87.67380297499994 41.692205985000044)
Albany Park,3401 W. Foster Ave.,Chicago,60625,6565,7308,6554,7159,7552,,,,,,,,35138,POINT (-87.71406100499996 41.975447006000024)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,3345,3417,4169,3917,3614,,,,,,,,18462,POINT (-87.58626296499995 41.74633099300007)
Brainerd,1350 W. 89th St.,Chicago,60620,762,1023,1033,1397,1082,,,,,,,,5297,POINT (-87.65773997999997 41.73252901600006)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4896,4824,5486,5025,4954,,,,,,,,25185,POINT (-87.81385401599994 41.97838398300007)
Little Italy,1336 W. Taylor St.,Chicago,60607,7679,7318,8778,8378,8675,,,,,,,,40828,POINT (-87.66052296199996 41.86942820300004)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,5774,5827,6259,5770,5878,,,,,,,,29508,POINT (-87.76208696299994 41.997127008000064)
Kelly,6151 S. Normal Blvd.,Chicago,60621,2361,2276,2598,3035,2901,,,,,,,,13171,POINT (-87.63724899299996 41.78199800300007)
Edgewater,6000 N. Broadway St.,Chicago,60660,8408,8676,9075,10534,8299,,,,,,,,44992,POINT (-87.66070097099998 41.991152010000064)
Near North,310 W. Division St.,Chicago,60610,6661,11052,11254,10335,6868,,,,,,,,46170,POINT (-87.63657902699998 41.90413901200003)
Canaryville,642 W. 43rd St.,Chicago,60609,1228,1290,1720,1420,1275,,,,,,,,6933,POINT (-87.64259698199999 41.81648899000004)
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,1754,2150,3544,5498,4445,,,,,,,,17391,POINT (-87.64646497899997 41.83263798300004)
Manning,6 S. Hoyne Ave.,Chicago,60612,3272,3333,3536,3999,4068,,,,,,,,18208,POINT (-87.67958900299999 41.88105701100005)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,4569,7520,9359,8386,7057,,,,,,,,36891,POINT (-87.75493602599994 41.93894499100003)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1976,3628,4051,4577,2262,,,,,,,,16494,POINT (-87.61424603299997 41.75093500500003)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,2850,2852,3992,3740,4183,,,,,,,,17617,POINT (-87.60042402299996 41.762564015000066)
Scottsdale,4101 W. 79th St.,Chicago,60652,2976,3537,3839,3764,3258,,,,,,,,17374,POINT (-87.72458196999997 41.74917501500005)
Altgeld,955 E. 131st St.,Chicago,60827,3342,3529,4242,4346,3959,,,,,,,,19418,POINT (-87.59858989999998 41.65721704300006)
West Lawn,4020 W. 63rd St.,Chicago,60629,2769,3212,3589,3999,3832,,,,,,,,17401,POINT (-87.72380899099994 41.77890801400008)
Back of the Yards,2111 W. 47th St.,Chicago,60609,2440,2529,3529,3525,3473,,,,,,,,15496,POINT (-87.67814396299997 41.80798098100007)
Rogers Park,6907 N. Clark St.,Chicago,60626,6634,7712,11081,10685,10224,,,,,,,,46336,POINT (-87.67335866399998 42.006785587000024)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4670,4862,5640,5194,4791,,,,,,,,25157,POINT (-87.78021903099994 41.792989989000034)
King,3436 S. King Dr.,Chicago,60616,1208,1333,1377,1452,1640,,,,,,,,7010,POINT (-87.61740244999999 41.83221959000008)
Water Works,163 E. Pearson Street,Chicago,60611,3786,3634,4445,4120,4201,,,,,,,,20186,POINT (-87.62349998899998 41.89724401700005)
