BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,3948,4199,5000,4322,4013,,,,,,,,21482,POINT (-87.70645903299999 41.89468773600004)
Humboldt Park,1605 N. Troy St.,Chicago,60647,2134,4843,2767,2608,2404,,,,,,,,14756,POINT (-87.70530602299993 41.91045498600005)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,19382,19383,22779,19675,20137,,,,,,,,101356,POINT (-87.68438998999994 41.96275701400003)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6396,6111,8340,7206,7152,,,,,,,,35205,POINT (-87.59033900099996 41.80583999100003)
North Austin,5724 W. North Ave.,Chicago,60639,1632,1472,1880,1925,1831,,,,,,,,8740,POINT (-87.76889700799995 41.909612018000075)
West Town,1625 W. Chicago Ave.,Chicago,60622,6684,6765,8422,7309,6577,,,,,,,,35757,POINT (-87.66850200799996 41.89578200300008)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,3641,6962,6465,5755,3924,,,,,,,,26747,POINT (-87.69633202199998 41.983373017000076)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,9102,13927,14045,14697,7933,,,,,,,,59704,POINT (-87.65814801099998 41.925597019000065)
West Englewood,1745 W. 63rd St.,Chicago,60636,2120,2508,2557,2559,2582,,,,,,,,12326,POINT (-87.66838499699998 41.77907900500003)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,3282,6377,6239,2610,737,,,,,,,,19245,POINT (-87.72667803199994 41.80089198600007)
Hegewisch,3048 E. 130th St.,Chicago,60633,1245,1501,1511,1577,1150,,,,,,,,6984,POINT (-87.54892896299998 41.65940898100007)
Independence,4024 N. Elston Ave.,Chicago,60618,3638,4542,4108,3993,3366,,,,,,,,19647,POINT (-87.72033502699998 41.95412998200004)
Lozano,1805 S. Loomis St.,Chicago,60608,3697,5999,5354,4991,4079,,,,,,,,24120,POINT (-87.66092996499998 41.85762200600004)
South Shore,2505 E. 73rd St.,Chicago,60649,1736,2083,2268,2369,2536,,,,,,,,10992,POINT (-87.56371799299995 41.76244901600006)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,12943,12093,16430,16045,16491,,,,,,,,74002,POINT (-87.63212899099995 41.85376201400004)
Douglass,3353 W. 13th St.,Chicago,60623,2281,1605,1818,400,499,,,,,,,,6603,POINT (-87.70967805399994 41.864482714000076)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10711,9805,12323,11115,10463,,,,,,,,54417,POINT (-87.70349402299996 41.92508501100008)
Roden,6083 N. Northwest Hwy.,Chicago,60631,4217,13491,13435,9104,4589,,,,,,,,44836,POINT (-87.79802001399997 41.99215398300004)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,,,,,,,,0,POINT (-87.79731647599993 41.921091352000076)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3469,7391,6795,5312,3677,,,,,,,,26644,POINT (-87.78619901599996 41.936736988000064)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,3662,5151,5208,5988,3646,,,,,,,,23655,POINT (-87.68035200799994 41.91256001700003)
North Pulaski,4300 W. North Ave.,Chicago,60639,2612,2322,2771,2719,2774,,,,,,,,13198,POINT (-87.73398202299995 41.91014301100006)
McKinley Park,1915 W. 35th St.,Chicago,60609,4587,7009,7157,5770,5816,,,,,,,,30339,POINT (-87.67359300899994 41.83017198500005)
West Pullman,830 W. 119th St.,Chicago,60643,2432,8510,7576,5448,2817,,,,,,,,26783,POINT (-87.64309696299995 41.678082017000065)
Beverly,1962 W. 95th St.,Chicago,60643,2724,2792,3527,2989,2642,,,,,,,,14674,POINT (-87.67214897399998 41.721352000000024)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,2745,2781,3538,3476,3090,,,,,,,,15630,POINT (-87.72527699699998 41.87931500000008)
Toman,2708 S. Pulaski Rd.,Chicago,60623,2431,3178,2881,2383,2992,,,,,,,,13865,POINT (-87.72487298899995 41.84206699600003)
Austin,5615 W. Race Ave.,Chicago,60644,3335,3313,4077,4028,4296,,,,,,,,19049,POINT (-87.76581397599995 41.88902598000004)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1625,12146,6312,4074,1851,,,,,,,,26008,POINT (-87.70250403699998 41.73764801200008)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,3187,2839,3345,5012,4369,,,,,,,,18752,POINT (-87.76198696699998 41.96736198900004)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,1585,2201,2908,3110,2901,,,,,,,,12705,POINT (-87.73819501899999 41.96839200000005)
South Chicago,9055 S. Houston Ave.,Chicago,60617,3160,2950,3729,2989,3119,,,,,,,,15947,POINT (-87.54953597999997 41.73037901600003)
Clearing,6423 W. 63rd Pl.,Chicago,60638,1095,630,610,2935,480,,,,,,,,5750,POINT (-87.78226496999997 41.77645798400005)
Merlo,644 W. Belmont Ave.,Chicago,60657,8024,12599,13585,11985,8442,,,,,,,,54635,POINT (-87.64621896999995 41.94032000000004)
Uptown,929 W. Buena Ave.,Chicago,60613,6937,6885,7865,8517,7734,,,,,,,,37938,POINT (-87.65421103099999 41.958200988000044)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,3320,3687,4129,4358,3964,,,,,,,,19458,POINT (-87.70353903399996 41.78196699000006)
Harold Washtington Library Center,400 S. State St.,Chicago,60605,31440,34144,37003,32806,39548,,,,,,,,174941,POINT (-87.62839401499997 41.876313985000024)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,2346,3629,4285,4267,3130,,,,,,,,17657,POINT (-87.70319504099996 41.815067000000056)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,1291,1499,2886,1989,1623,,,,,,,,9288,POINT (-87.74799497199996 41.895320998000045)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,2402,3042,3836,3653,3665,,,,,,,,16598,POINT (-87.70482599199994 41.84964000300005)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,7534,7608,8966,8509,7509,,,,,,,,40126,POINT (-87.67089302999995 41.94032398100006)
Gage Park,2807 W. 55th St.,Chicago,60632,1715,1511,3794,2243,1879,,,,,,,,11142,POINT (-87.69417703499994 41.793441019000056)
Northtown,6800 N. Western Ave.,Chicago,60645,6176,10135,9397,8077,6293,,,,,,,,40078,POINT (-87.69042596599996 42.00547500600004)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,5224,5559,5898,6175,6047,,,,,,,,28903,POINT (-87.81379976199997 41.943288933000076)
Bezazian,1226 W. Ainslie St.,Chicago,60640,3766,3742,4305,4302,4027,,,,,,,,20142,POINT (-87.66075201699994 41.97158198400007)
West Loop,122 N. Aberdeen St.,Chicago,60607,5796,5291,6469,5617,5188,,,,,,,,28361,POINT (-87.65475702799995 41.883784985000034)
Pullman,11001 S. Indiana Ave.,Chicago,60628,2874,3466,3866,3738,3481,,,,,,,,17425,POINT (-87.61795896499996 41.69437199400005)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,920,1797,1731,1890,1946,,,,,,,,8284,POINT (-87.56553200399998 41.71323701800003)
Hall,4801 S. Michigan Ave.,Chicago,60615,2360,2208,3020,2950,3310,,,,,,,,13848,POINT (-87.62227597999998 41.807196015000045)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,2044,297,1227,2623,2433,,,,,,,,8624,POINT (-87.70122101899995 41.693149997000035)
Coleman,731 E. 63rd St.,Chicago,60637,2221,1750,1802,2812,2529,,,,,,,,11114,POINT (-87.60683500599998 41.78013499900004)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,3165,3462,3438,3240,3052,,,,,,,,16357,POINT (-87.77955501699995 41.953195986000026)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,4608,5169,7259,7072,6216,,,,,,,,30324,POINT (-87.64280401499997 41.72086698100003)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,3169,5731,6439,5623,3694,,,,,,,,24656,POINT (-87.65437699299997 41.75737498900003)
Chicago Bee,3647 S. State St.,Chicago,60609,881,1022,1216,1197,1033,,,,,,,,5349,POINT (-87.62622997499994 41.82817399100003)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,2632,3316,3622,3454,2704,,,,,,,,15728,POINT (-87.53353098799994 41.702956991000065)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,964,1225,1200,1195,1107,,,,,,,,5691,POINT (-87.65514603199995 41.79484800500006)
