BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,577,561,806,757,614,589,310,679,718,734,681,511,3315,2023
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,931,886,1089,941,856,1047,1053,1092,1093,1059,927,901,4703,2023
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,323,310,455,364,381,341,282,323,392,355,334,279,1833,2023
South Chicago,9055 S. Houston Ave.,Chicago,60617,1168,1014,1236,1047,1087,1164,1141,1256,1078,1009,1012,1001,5552,2023
Clearing,6423 W. 63rd Pl.,Chicago,60638,504,440,611,485,487,505,538,618,566,655,547,471,2527,2023
Merlo,644 W. Belmont Ave.,Chicago,60657,995,865,1063,1185,1119,1224,1284,1384,1089,1117,997,797,5227,2023
Uptown,929 W. Buena Ave.,Chicago,60613,1166,1150,1359,1521,1364,271,1061,1116,1233,1203,1087,1061,6560,2023
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1024,885,1081,1016,999,969,1049,1194,1000,1095,946,753,5005,2023
Harold Washington Library Center,400 S. State Street,Chicago,60605,9873,9368,10957,10276,10015,9075,9079,10150,9163,9459,9621,9156,50489,2023
Brighton Park,4314 S. Archer Ave.,Chicago,60632,381,481,635,705,702,511,487,594,562,497,506,472,2904,2023
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,752,717,987,926,881,706,720,910,892,769,740,620,4263,2023
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1003,1002,1282,1246,1215,857,946,983,1045,872,909,819,5748,2023
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,714,592,701,657,634,597,659,725,592,635,556,570,3298,2023
Gage Park,2807 W. 55th St.,Chicago,60632,314,370,376,326,371,195,326,284,142,229,253,205,1757,2023
Northtown,6800 N. Western Ave.,Chicago,60645,1567,1399,1826,1671,1684,1709,1939,1931,1632,1736,1451,1392,8147,2023
Dunning,7455 W. Cornelia Ave.,Chicago,60634,733,707,849,710,770,596,714,836,792,826,694,628,3769,2023
Bezazian,1226 W. Ainslie St.,Chicago,60640,1240,1119,1457,1388,1436,1469,1366,1455,1369,1365,1088,1079,6640,2023
West Loop,122 N. Aberdeen St.,Chicago,60607,481,439,391,326,370,424,430,472,445,434,416,386,2007,2023
Pullman,11001 S. Indiana Ave.,Chicago,60628,932,908,978,904,892,794,868,831,957,1100,949,838,4614,2023
Jeffery Manor,2401 E. 100th St.,Chicago,60617,667,735,795,779,822,616,811,853,924,840,671,583,3798,2023
Hall,4801 S. Michigan Ave.,Chicago,60615,614,565,809,785,734,666,706,844,773,873,688,510,3507,2023
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,524,108,344,592,621,597,661,729,620,594,571,451,2189,2023
Coleman,731 E. 63rd St.,Chicago,60637,1274,1319,1362,1365,1471,1315,1323,1590,1260,1432,1336,1147,6791,2023
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,610,542,770,675,758,613,654,672,651,718,578,513,3355,2023
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,2873,2960,3390,3440,3282,3097,3206,3384,2955,3250,2885,2525,15945,2023
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,936,1024,1185,1179,1248,1009,1085,1146,1105,1212,907,896,5572,2023
Chicago Bee,3647 S. State St.,Chicago,60609,643,622,662,631,607,643,591,698,646,705,569,542,3165,2023
Vodak-East Side,3710 E. 106th St.,Chicago,60617,762,743,780,859,823,635,745,928,806,852,627,620,3967,2023
Sherman Park,5440 S. Racine Ave.,Chicago,60609,650,608,742,748,769,585,527,632,607,686,541,465,3517,2023
