BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,658,683,834,1038,759,819,482,860,766,733,671,575,3972,2023
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,6130,5793,7239,5783,5071,6640,6747,6344,5669,5962,6083,5431,30016,2023
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1440,926,1422,1169,980,1363,1600,1349,1353,1416,1266,1183,5937,2023
Coleman,731 E. 63rd St.,Chicago,60637,944,861,1094,1028,905,1053,1058,981,954,965,1130,843,4832,2023
Humboldt Park,1605 N. Troy St.,Chicago,60647,3690,3457,3990,3814,3388,3700,3777,3917,3635,3682,3661,3095,18339,2023
Douglass,3353 W. 13th St.,Chicago,60623,350,323,460,133,152,0,224,360,378,368,404,349,1418,2023
Clearing,6423 W. 63rd Pl.,Chicago,60638,1999,1900,2101,2192,1708,2136,1914,1970,1733,2270,1988,1455,9900,2023
Edgebrook,5331 W. Devon Ave.,Chicago,60646,6680,5868,6938,5944,5587,7397,7621,7818,6225,6238,6537,5630,31017,2023
Roden,6083 N. Northwest Hwy.,Chicago,60631,4708,4607,5773,4692,4322,4915,5395,5214,4367,4719,4614,4006,24102,2023
Harold Washington Library Center,400 S. State Street,Chicago,60605,24096,21200,24716,22060,20355,23305,23715,26029,22770,22560,22288,20480,112427,2023
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4964,4765,5691,4602,4337,5544,5958,5655,5294,4733,5215,4241,24359,2023
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,3182,2874,3876,3096,2686,3517,3770,3433,3122,2407,3156,2493,15714,2023
Gage Park,2807 W. 55th St.,Chicago,60632,753,692,858,690,580,655,967,761,494,706,786,761,3573,2023
Hegewisch,3048 E. 130th St.,Chicago,60633,913,843,969,950,908,1210,1108,406,162,915,845,706,4583,2023
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,11534,10578,12793,10922,9982,13373,13666,12795,11304,10720,11015,9629,55809,2023
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,516,369,460,372,338,573,519,538,436,446,456,404,2055,2023
McKinley Park,1915 W. 35th St.,Chicago,60609,2620,2626,3697,2742,2404,3232,3157,3239,3007,2746,2474,2290,14089,2023
West Loop,122 N. Aberdeen St.,Chicago,60607,4975,4284,4976,4502,3852,4236,4560,4655,4769,4507,4585,3953,22589,2023
Bezazian,1226 W. Ainslie St.,Chicago,60640,6248,5796,6706,6116,5831,7530,6891,6817,6194,5937,5857,5893,30697,2023
Toman,2708 S. Pulaski Rd.,Chicago,60623,1955,1687,2037,1922,2002,1808,1789,2389,2178,2388,2063,1455,9603,2023
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,569,768,681,650,650,731,893,921,900,735,570,619,3318,2023
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,25585,24380,27417,24938,22945,25830,26692,26071,24423,23921,24073,21258,125265,2023
Rogers Park,6907 N. Clark St.,Chicago,60626,6712,5916,7649,6366,6643,6832,6950,6638,6443,6142,6095,5948,33286,2023
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,2023
Kelly,6151 S. Normal Blvd.,Chicago,60621,370,285,258,318,302,479,450,511,638,402,466,376,1533,2023
West Town,1625 W. Chicago Ave.,Chicago,60622,4932,4197,5318,4438,4083,4959,4901,4700,4107,4546,4642,3918,22968,2023
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,3760,395,1899,3376,3099,4642,4597,4703,3490,3625,3644,3024,12529,2023
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,4299,3882,4704,4587,3650,5367,5477,5362,4991,4847,4035,3957,21122,2023
Brainerd,1350 W. 89th St.,Chicago,60620,325,243,421,269,211,421,337,373,361,276,256,201,1469,2023
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1340,1591,1735,1685,1557,1578,1609,1512,1425,1603,1579,1278,7908,2023
South Chicago,9055 S. Houston Ave.,Chicago,60617,732,828,814,718,570,804,720,883,681,697,799,615,3662,2023
Chicago Bee,3647 S. State St.,Chicago,60609,839,806,1021,753,754,931,778,770,714,835,718,788,4173,2023
