BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Albany Park,3401 W. Foster Ave.,Chicago,60625,8214,7614,8460,7414,7044,7970,9664,9069,7053,8012,6571,5924,93009,2019
Altgeld,13281 S. Corliss Ave.,Chicago,60827,378,326,332,270,320,325,354,229,234,377,369,500,4014,2019
Archer Heights,5055 S. Archer Ave.,Chicago,60632,5365,5019,5417,5349,4833,4627,5356,4793,4537,5263,4051,3415,58025,2019
Austin,5615 W. Race Ave.,Chicago,60644,215,590,706,736,806,983,1134,1236,1193,1361,1286,1082,11328,2019
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,9678,9764,10845,10541,9763,11442,11634,11063,9379,9932,8567,6492,119100,2019
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2910,2836,3086,3152,2942,3279,3460,3538,2910,3128,2585,2654,36480,2019
Back of the Yards,2111 W. 47th St.,Chicago,60609,2156,1856,2091,2593,1837,1772,2412,2393,1820,2286,1534,1715,24465,2019
Beverly,1962 W. 95th St.,Chicago,60643,3937,4035,4177,3974,3769,4180,4425,4651,4013,4660,3980,3350,49151,2019
Bezazian,1226 W. Ainslie St.,Chicago,60640,8524,7113,8426,8151,8319,7785,8873,9245,8064,8695,7625,7536,98356,2019
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7981,7477,9197,8088,7609,9343,9804,9745,7941,8423,7648,6577,99833,2019
Brainerd,1350 W. 89th St.,Chicago,60620,677,623,649,837,878,969,720,850,897,841,659,604,9204,2019
Brighton Park,4314 S. Archer Ave.,Chicago,60632,4157,3471,4160,3668,3650,3524,3759,4420,3786,4443,3223,2747,45008,2019
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8642,8309,9764,8341,8659,9859,10344,10569,9277,9444,8693,7519,109420,2019
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,8892,8935,9106,8191,7487,7449,8624,8233,7203,7790,7191,6498,95599,2019
Canaryville,642 W. 43rd St.,Chicago,60609,1617,1426,1735,1527,1562,1646,1793,1845,1612,1933,1749,1666,20111,2019
Chicago Bee,3647 S. State St.,Chicago,60609,862,991,936,731,859,817,1076,1056,970,1068,802,757,10925,2019
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2521,2415,2883,3005,2712,2618,3362,3220,2381,4,1624,1901,28646,2019
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,8235,7775,9347,8221,8037,8501,8711,9063,7789,7748,7175,6707,97309,2019
Clearing,6423 W. 63rd Pl.,Chicago,60638,2534,2530,2557,2565,2800,2628,3158,3106,2594,588,958,1941,27959,2019
Coleman,731 E. 63rd St.,Chicago,60637,2291,2446,2394,2464,2153,2517,2374,2244,26,1034,1675,1588,23206,2019
"Daley, Richard J.",3400 S. Halsted St.,Chicago,60608,5280,4497,5730,5508,5332,5140,5897,5438,4696,5175,5016,3980,61689,2019
"Daley, Richard M.",733 N. Kedzie Ave.,Chicago,60612,2492,2471,2734,2525,2348,2471,2453,2302,2753,3317,2655,2493,31014,2019
Douglass,3353 W. 13th St.,Chicago,60623,0,0,4,0,0,0,0,0,0,2,423,821,1250,2019
Dunning,7455 W. Cornelia Ave.,Chicago,60634,4058,4305,4361,4329,3820,3835,4769,4348,4261,3534,3443,3183,48246,2019
Edgebrook,5331 W. Devon Ave.,Chicago,60646,8719,8489,9174,8587,8264,9335,10893,10515,8092,8733,7434,6568,104803,2019
Edgewater,6000 N. Broadway St.,Chicago,60660,14294,13730,14560,14545,13342,14701,16253,16822,13737,14577,13183,11655,171399,2019
Gage Park,2807 W. 55th St.,Chicago,60632,1012,825,1048,1055,898,1082,1513,1140,1117,1950,1365,1097,14102,2019
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,749,640,856,760,783,826,856,741,923,816,649,557,9156,2019
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,4409,4318,4643,4517,4164,4622,5448,4765,3661,5170,4220,3250,53187,2019
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1087,1054,1424,1267,1409,1463,2066,1605,1984,1556,1220,1129,17264,2019
Hall,4801 S. Michigan Ave.,Chicago,60615,1075,1028,1323,1207,1138,1382,1690,1651,1837,1573,1150,1131,16185,2019
HAROLD WASHINGTON LIBRARY CENTER,400 S. State Street,CHICAGO,60605,48072,46112,52568,49554,48041,47580,51624,52012,48078,50636,44604,42270,581151,2019
Hegewisch,3048 E. 130th St.,Chicago,60633,1688,1573,1733,1509,1347,1566,1805,1495,1340,1840,1554,1602,19052,2019
Humboldt Park,1605 N. Troy St.,Chicago,60647,5075,4464,5367,4966,4348,4526,5304,4890,4473,4897,4345,3914,56569,2019
Independence,4024 N. Elston Ave.,Chicago,60618,2293,6993,8700,7706,6668,8554,9449,9876,7103,8396,7125,5592,88455,2019
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,4148,94,0,0,0,0,0,0,0,9,2642,4913,11806,2019
Jeffery Manor,2401 E. 100th St.,Chicago,60617,632,603,632,659,503,649,791,951,927,1041,729,657,8774,2019
Kelly,6151 S. Normal Blvd.,Chicago,60621,1048,730,711,847,906,1070,1235,1117,932,862,825,833,11116,2019
King,3436 S. King Dr.,Chicago,60616,1713,1464,1733,1679,1598,1813,1804,1703,1891,2171,1985,1757,21311,2019
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,769,767,701,723,1039,928,1240,1281,1045,79,0,0,8572,2019
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,11587,11718,15218,14150,13897,14997,16318,16522,13504,15803,13617,11315,168646,2019
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,9826,9336,11605,10534,10314,11653,12704,12758,11161,12329,11050,10067,133337,2019
Little Italy,1336 W. Taylor St.,Chicago,60607,1088,3975,6130,5485,5717,6177,6750,6558,4983,5642,5020,4756,62281,2019
Little Village,2311 S. Kedzie Ave.,Chicago,60623,2973,3106,3354,3732,3139,3348,3633,3547,3385,3790,2799,2474,39280,2019
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10828,9873,11488,10770,11114,10870,12661,12090,10834,11858,10353,9206,131945,2019
Lozano,1805 S. Loomis St.,Chicago,60608,3781,3346,3974,3237,2960,3189,3781,4139,3516,3952,3273,2963,42111,2019
Manning,6 S. Hoyne Ave.,Chicago,60612,1730,1729,1758,1898,1716,1705,2130,2269,1877,2116,1800,1490,22218,2019
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,4283,3826,4475,3935,3606,4006,4444,4403,3873,4068,3270,2713,46902,2019
McKinley Park,1915 W. 35th St.,Chicago,60609,4477,4649,5101,5260,4593,4902,5079,5105,4969,5266,4521,3960,57882,2019
Merlo,644 W. Belmont Ave.,Chicago,60657,8053,6583,1,0,0,0,0,0,0,0,0,0,14637,2019
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,4301,4637,4949,4624,4788,5486,6275,5271,4309,4748,4179,3483,57050,2019
Near North,310 W. Division St.,Chicago,60610,8232,7589,8325,8367,8600,8953,9921,9653,8051,9220,7965,7350,102226,2019
North Austin,5724 W. North Ave.,Chicago,60639,997,821,735,995,959,1030,1308,1333,1161,1238,1014,875,12466,2019
North Pulaski,4300 W. North Ave.,Chicago,60639,2476,2106,2397,2677,2290,2076,2514,2514,2097,2314,2074,1695,27230,2019
Northtown,6800 N. Western Ave.,Chicago,60645,109,45,9413,10129,9740,11365,13998,12762,9765,11590,9017,9011,106944,2019
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,5120,5265,6103,5583,5305,6012,6505,5992,4985,5501,4503,4334,65208,2019
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,6272,5363,6671,2688,0,1265,6023,5576,5101,4703,4909,4062,52633,2019
Pullman,11001 S. Indiana Ave.,Chicago,60628,1139,1072,1052,1013,1104,1155,976,1042,1067,1046,885,955,12506,2019
Roden,6083 N. Northwest Hwy.,Chicago,60631,5994,5749,6976,6455,5990,6697,7785,6981,5813,6196,5845,2444,72925,2019
Rogers Park,6907 N. Clark St.,Chicago,60626,10289,10039,10648,9532,8916,9357,10283,10171,8841,9068,8141,7680,112965,2019
Scottsdale,4101 W. 79th St.,Chicago,60652,2062,1744,2184,2016,1875,1836,2038,1826,1530,1719,1689,1404,21923,2019
Sherman Park,5440 S. Racine Ave.,Chicago,60609,589,593,540,595,584,483,743,696,548,691,515,427,7004,2019
South Chicago,9055 S. Houston Ave.,Chicago,60617,1375,1548,1480,1677,1541,1601,1612,1614,1641,1790,1484,1336,18699,2019
South Shore,2505 E. 73rd St.,Chicago,60649,2052,511,7,0,0,0,0,0,0,0,0,1,2571,2019
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,31782,29305,33438,30611,29432,32036,33964,33231,29364,30507,29105,26755,369530,2019
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,1845,1936,1730,1753,1868,1945,2108,1699,1595,1857,1508,1295,21139,2019
Toman,2708 S. Pulaski Rd.,Chicago,60623,4427,4176,4282,4473,3687,3752,4700,3840,4213,4874,3991,3612,50027,2019
Uptown,929 W. Buena Ave.,Chicago,60613,4063,5991,7361,7704,7969,8542,9561,9434,7843,8226,7514,6661,90869,2019
Vodak-East Side,3710 E. 106th St.,Chicago,60617,2715,2577,2948,2581,2480,2536,2907,2621,2293,2911,2254,1208,30031,2019
Walker,11071 S. Hoyne Ave.,Chicago,60643,1385,1481,1480,1381,1451,1697,2011,2080,1597,1115,54,773,16505,2019
Water Works,163 E. Pearson Street,Chicago,60611,4141,3801,4478,4515,4864,4964,5788,5799,5057,5194,5049,4308,57958,2019
West Belmont,3104 N. Narragansett Ave.,Chicago,60611,2334,4986,5554,6818,6454,7153,6601,6583,5137,5871,4561,3801,65853,2019
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60634,827,767,684,756,851,228,845,731,802,1031,704,586,8812,2019
West Englewood,1745 W. 63rd St.,Chicago,60651,1053,940,1043,1095,1200,1100,1249,1469,1227,1181,1123,854,13534,2019
West Lawn,4020 W. 63rd St.,Chicago,60636,2757,2631,2859,3038,2761,2807,3470,3049,2919,4307,3305,2479,36382,2019
West Loop,122 N. Aberdeen St.,Chicago,60607,2620,5386,5732,4838,4830,4879,5720,5916,5124,5449,4789,4122,59405,2019
West Pullman,830 W. 119th St.,Chicago,60643,1346,1439,1563,1343,1659,1656,1663,1630,1673,1422,1217,1212,17823,2019
West Town,1625 W. Chicago Ave.,Chicago,60622,5076,4166,5454,5075,4659,5366,5756,5878,5001,4950,4511,3997,59889,2019
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,763,1496,2003,1911,1879,1997,2126,1914,1861,2288,2089,1646,21973,2019
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,5061,5034,5524,5313,4683,5133,5103,4966,5118,5475,4667,3856,59933,2019
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1478,1322,1526,1440,1566,1675,1812,1631,1552,1475,1297,833,17607,2019
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,1781,1655,1094,0,0,403,840,767,867,833,826,644,9710,2020
Walker,11071 S. Hoyne Ave.,Chicago,60643,1084,1084,963,0,0,465,805,875,889,946,712,736,8559,2020
