BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,YEAR
Albany Park,3401 W. Foster Ave.,Chicago,60625,7062,6338,3957,0,0,3130,5015,5095,4810,4807,4738,4295,49247,2020
Avalon,8148 S. Stony Island Ave.,Chicago,60617,2531,2244,1798,0,0,917,1466,1349,1543,1935,1407,1609,16799,2020
Brainerd,1350 W. 89th St.,Chicago,60620,583,450,314,0,0,139,288,382,364,488,258,311,3577,2020
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,6094,4772,3772,0,0,2792,4465,3772,4188,4486,4208,4134,42683,2020
Little Italy,1336 W. Taylor St.,Chicago,60607,5351,4915,3249,0,0,2876,3969,3816,3728,3814,3727,2341,37786,2020
Edgebrook,5331 W. Devon Ave.,Chicago,60646,8446,6924,5378,0,2,4591,7465,7083,6899,6664,4243,6304,63999,2020
Kelly,6151 S. Normal Blvd.,Chicago,60621,933,773,561,0,0,291,307,365,317,417,250,284,4498,2020
Edgewater,6000 N. Broadway St.,Chicago,60660,14221,13235,9551,0,35,6613,10245,9833,9739,10487,9853,9758,103570,2020
Near North,310 W. Division St.,Chicago,60610,8411,7896,4181,0,0,5435,8240,8014,8163,8189,7204,6765,72498,2020
Canaryville,642 W. 43rd St.,Chicago,60609,1538,1571,984,0,6,0,0,0,0,21,0,0,4120,2020
"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,4460,4534,3439,0,0,2480,3809,3545,3804,4125,3450,3399,37045,2020
Manning,6 S. Hoyne Ave.,Chicago,60612,1728,1597,0,0,0,0,0,0,0,0,0,0,3325,2020
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,5674,4989,3519,0,0,2184,3091,3544,3445,3634,3233,2949,36262,2020
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,1265,1021,768,0,0,424,624,509,592,524,395,617,6739,2020
Scottsdale,4101 W. 79th St.,Chicago,60652,1890,1661,1246,0,1,658,1059,1051,1013,1164,960,947,11650,2020
Altgeld,13281 S. Corliss Ave.,Chicago,60827,360,271,148,0,0,0,0,0,23,1,141,165,1109,2020
West Lawn,4020 W. 63rd St.,Chicago,60629,3340,2954,1835,0,0,897,1197,1345,1617,1535,1313,963,16996,2020
Back of the Yards,2111 W. 47th St.,Chicago,60609,1889,1847,1541,0,0,570,798,818,1087,1026,857,718,11151,2020
Rogers Park,6907 N. Clark St.,Chicago,60626,8713,8311,5421,1,5,4386,7040,7083,7252,7167,3328,6867,65574,2020
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,3964,3688,2942,0,0,1749,2711,2813,2934,2797,2528,2347,28473,2020
King,3436 S. King Dr.,Chicago,60616,2157,1770,1276,0,0,135,982,872,960,1057,876,1060,11145,2020
Water Works,163 E. Pearson Street,Chicago,60611,5122,4327,3085,0,0,0,0,0,0,0,0,0,12534,2020
"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,2800,2600,1643,0,0,1213,1310,1656,1598,1640,1237,1268,16965,2020
Humboldt Park,1605 N. Troy St.,Chicago,60647,4333,4248,3380,0,0,1815,2991,3186,3462,5922,3748,3161,36246,2020
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,30141,28385,19560,0,1,14566,22356,22163,22489,22846,22776,21181,226464,2020
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7975,7461,4281,0,0,4583,6324,5951,6350,6111,5961,5840,60837,2020
North Austin,5724 W. North Ave.,Chicago,60639,1072,869,573,0,0,410,647,703,796,705,682,636,7093,2020
West Town,1625 W. Chicago Ave.,Chicago,60622,4684,4537,3287,0,0,2582,3101,3382,3452,3847,3394,3269,35535,2020
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,7384,6714,4696,0,0,3109,5321,5578,5659,6165,5467,5534,55627,2020
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,12260,11556,7889,0,0,6265,9061,8792,8753,9925,8895,8669,92065,2020
West Englewood,1745 W. 63rd St.,Chicago,60636,1050,905,557,0,0,191,261,347,369,362,337,242,4621,2020
Archer Heights,5055 S. Archer Ave.,Chicago,60632,3769,3498,2681,0,0,1398,2151,2103,2194,2365,1954,1816,23929,2020
Hegewisch,3048 E. 130th St.,Chicago,60633,2020,1334,1404,0,0,602,1052,1113,1195,1219,652,888,11479,2020
Independence,4024 N. Elston Ave.,Chicago,60618,6652,7177,3946,0,0,3919,6265,5913,5559,5734,5356,5173,55694,2020
Lozano,1805 S. Loomis St.,Chicago,60608,3456,2838,1732,2,0,1142,2019,2201,2296,2186,1783,1881,21536,2020
South Shore,2505 E. 73rd St.,Chicago,60649,1,965,1088,0,0,643,851,876,977,1038,808,533,7780,2020
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,6044,5774,3024,0,5,2783,3699,3788,3891,4285,3502,3539,40334,2020
Douglass,3353 W. 13th St.,Chicago,60623,1112,879,577,0,0,235,368,311,418,414,276,195,4785,2020
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,11156,10359,7846,0,1,4824,9139,8789,7514,3,5421,6871,71923,2020
Roden,6083 N. Northwest Hwy.,Chicago,60631,1518,4675,4110,0,0,3236,4845,2779,3830,4345,4095,3821,37254,2020
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,732,628,345,0,0,0,0,0,0,0,0,0,1705,2020
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,4697,4840,4026,0,11,1249,2989,2957,3032,3390,3049,2782,33022,2020
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,9696,9222,6361,0,0,4494,6914,7265,7067,9118,7314,7422,74873,2020
North Pulaski,4300 W. North Ave.,Chicago,60639,1733,1962,954,0,0,722,846,999,1102,1294,963,690,11265,2020
McKinley Park,1915 W. 35th St.,Chicago,60609,4750,4363,3334,0,0,2296,3279,2914,2705,2790,2562,2022,31015,2020
West Pullman,830 W. 119th St.,Chicago,60643,1449,1491,1083,0,0,344,678,790,842,739,703,649,8768,2020
Beverly,1962 W. 95th St.,Chicago,60643,3746,3822,3017,0,0,1937,2928,2817,2940,2793,2824,2349,29173,2020
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,0,0,0,0,0,0,0,0,0,1,23,221,245,2020
Toman,2708 S. Pulaski Rd.,Chicago,60623,4410,3785,3086,0,0,1239,2000,1602,1921,2100,1959,1679,23781,2020
Austin,5615 W. Race Ave.,Chicago,60644,1315,1235,809,0,0,452,730,920,944,782,639,566,8392,2020
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,1313,1244,1016,0,0,512,764,674,760,947,645,721,8596,2020
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,6161,5460,4235,0,2,3067,4073,3099,3574,4299,4109,3663,41742,2020
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2929,2892,2079,0,0,1547,2408,2419,2662,2654,2626,2230,24446,2020
South Chicago,9055 S. Houston Ave.,Chicago,60617,1667,1234,804,0,0,342,534,709,790,885,577,6,7548,2020
Clearing,6423 W. 63rd Pl.,Chicago,60638,2242,2139,1754,0,0,1109,1686,1626,1866,1686,1437,1407,16952,2020
Merlo,644 W. Belmont Ave.,Chicago,60657,0,0,0,0,0,36,5627,6722,7177,7703,7005,6881,41151,2020
Uptown,929 W. Buena Ave.,Chicago,60613,7877,7308,5655,0,0,4160,6301,5730,5915,6060,5055,5446,59507,2020
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,2161,2506,1774,0,1,854,1321,1641,1278,1163,1271,1110,15080,2020
Harold Washington Library Center,400 S. State Street,Chicago,60605,48585,42078,31090,275,245,16445,22446,23210,24061,24382,23071,20990,276878,2020
Brighton Park,4314 S. Archer Ave.,Chicago,60632,3047,2830,2327,0,0,881,1610,1969,1859,1914,1373,1237,19047,2020
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,703,713,412,0,0,207,345,284,298,338,236,138,3674,2020
Little Village,2311 S. Kedzie Ave.,Chicago,60623,2862,2444,1659,0,0,855,1144,1347,1602,1445,1132,1136,15626,2020
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,14013,13412,9198,0,12,7628,10263,9744,10462,11492,9859,9305,105388,2020
Gage Park,2807 W. 55th St.,Chicago,60632,1254,1233,727,0,0,0,0,0,0,0,0,0,3214,2020
Northtown,6800 N. Western Ave.,Chicago,60645,10481,9613,7569,19,0,6868,10675,10285,9867,10236,9692,9492,94797,2020
Dunning,7455 W. Cornelia Ave.,Chicago,60634,3769,3407,3017,0,0,2675,3465,3218,2786,2978,2817,2368,30500,2020
Bezazian,1226 W. Ainslie St.,Chicago,60640,8134,7405,5063,1,0,4028,6402,6339,6441,6726,5794,4218,60551,2020
West Loop,122 N. Aberdeen St.,Chicago,60607,5153,4618,2853,0,0,2238,3442,3858,3322,4115,3678,3434,36711,2020
Pullman,11001 S. Indiana Ave.,Chicago,60628,840,716,551,0,0,204,375,249,16,0,222,195,3368,2020
Patron Initiated renewals (automated phone),,,,1285,1204,1323,907,888,1032,1244,1288,938,0,0,346,10455,2020
Jeffery Manor,2401 E. 100th St.,Chicago,60617,662,500,482,0,0,278,454,381,373,393,277,291,4091,2020
Hall,4801 S. Michigan Ave.,Chicago,60615,1249,1108,990,0,0,749,945,823,903,868,70,0,7705,2020
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,4603,3804,3015,0,0,2467,3297,3308,3425,3364,3317,2807,33407,2020
Coleman,731 E. 63rd St.,Chicago,60637,1747,1750,1032,0,0,727,923,1061,1015,888,798,836,10777,2020
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,7877,7175,4749,0,0,4077,6122,5898,6365,5869,4495,4077,56704,2020
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,4587,4162,3034,0,10,1292,2022,2011,2187,2387,1802,1779,25273,2020
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,1485,1471,872,0,0,480,804,807,1008,1054,815,777,9573,2020
Chicago Bee,3647 S. State St.,Chicago,60609,749,728,537,0,0,384,594,588,750,657,498,550,6035,2020
Vodak-East Side,3710 E. 106th St.,Chicago,60617,986,2091,1792,0,0,713,1343,1454,1246,1356,1578,1126,13685,2020
Sherman Park,5440 S. Racine Ave.,Chicago,60609,411,521,373,0,0,117,202,223,209,129,302,188,2675,2020
Patron Initiated renewals (online),,,,47042,43467,41745,12394,9127,25779,31148,38909,37949,39006,38267,36064,400897,2020
Walker,11071 S. Hoyne Ave.,Chicago,60643,800,705,850,803,815,953,1098,914,880,1060,891,772,10541,2021
Albany Park,3401 W. Foster Ave.,Chicago,60625,4274,3486,5170,4864,4561,5711,5983,5675,5603,5699,5370,5238,61634,2021
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1342,1099,1241,1264,1368,1378,1242,1432,1589,1476,1355,1217,16003,2021
Brainerd,1350 W. 89th St.,Chicago,60620,311,349,501,60,85,278,197,280,277,337,314,332,3321,2021
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4375,3797,4725,4339,4386,5128,5511,4719,4630,5156,4850,4575,54673,2021
Little Italy,1336 W. Taylor St.,Chicago,60607,3978,3273,4237,3465,3835,4460,4906,4461,3842,3865,3896,3575,47793,2021
Edgebrook,5331 W. Devon Ave.,Chicago,60646,6378,5498,6690,6451,5971,6744,7849,7082,6354,6003,6511,5137,76668,2021
Kelly,6151 S. Normal Blvd.,Chicago,60621,323,268,303,270,274,332,355,533,399,439,470,368,4334,2021
Edgewater,6000 N. Broadway St.,Chicago,60660,11193,10185,11125,10500,10898,11595,11650,10854,10376,10137,9685,9539,127737,2021
Near North,310 W. Division St.,Chicago,60610,7399,6872,7910,7329,8085,8318,8412,7284,6777,6853,6639,5610,82376,2021
Canaryville,642 W. 43rd St.,Chicago,60609,0,0,0,0,0,0,131,869,1042,969,941,935,4887,2021
"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,4034,3152,3647,3708,3555,3532,3910,864,0,0,0,0,26402,2021
Manning,6 S. Hoyne Ave.,Chicago,60612,0,0,0,0,0,0,0,7,171,547,620,530,1875,2021
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,3040,2903,3681,3430,3641,3450,3855,3481,3766,3612,3238,3057,38450,2021
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,601,441,585,611,783,813,668,843,936,744,572,545,8142,2021
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,336,376,428,398,460,462,307,0,377,627,596,498,4865,2021
Auto-Renewals,,,,671609,646073,656125,672808,528412,471670,478883,513804,479910,505541,502847,501666,6629348,2021
Scottsdale,4101 W. 79th St.,Chicago,60652,984,896,1185,1091,975,1028,1348,1222,1274,1474,1419,1285,13093,2021
Altgeld,955 E. 131st St.,Chicago,60827,127,81,156,173,146,153,206,248,171,146,173,154,1934,2021
West Lawn,4020 W. 63rd St.,Chicago,60629,1174,1010,1538,1243,1428,629,13,0,0,0,0,0,7035,2021
Back of the Yards,2111 W. 47th St.,Chicago,60609,856,647,1070,1006,943,1090,1241,1179,1073,1363,1032,916,12416,2021
Rogers Park,6907 N. Clark St.,Chicago,60626,4582,6311,6404,6489,5983,6257,7070,6453,6383,6528,6449,6002,70194,2021
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,2437,2449,3093,2500,2628,3348,3691,2723,2893,3099,2593,2273,33727,2021
King,3436 S. King Dr.,Chicago,60616,845,804,930,900,976,1201,1344,1029,1217,1110,1189,1159,12704,2021
Water Works,163 E. Pearson Street,Chicago,60611,0,0,0,0,0,0,123,1561,1825,2166,2239,2286,10200,2021
"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,1541,1477,1455,1499,1246,1309,1321,1335,1221,1432,1458,989,16283,2021
Humboldt Park,1605 N. Troy St.,Chicago,60647,3107,2961,3211,2867,3014,3000,3394,2893,3263,3164,2962,2813,36649,2021
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,22742,20954,24275,23702,23039,25051,24576,24156,23213,23756,24048,21671,260163,2021
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,6012,5296,6948,6582,6980,7013,7787,7423,6576,6929,6932,6279,80757,2021
North Austin,5724 W. North Ave.,Chicago,60639,610,472,549,523,547,497,644,647,564,638,395,498,6941,2021
West Town,1625 W. Chicago Ave.,Chicago,60622,3631,3003,3596,3508,3787,3361,3725,4217,4401,4087,4280,3868,45464,2021
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,5277,4665,5837,5800,5365,6208,6639,6571,5725,5829,6116,5854,69886,2021
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,8658,7667,9869,9269,9727,10208,10190,10048,9936,9856,10238,8933,114599,2021
West Englewood,1745 W. 63rd St.,Chicago,60636,355,309,238,318,231,332,310,310,345,504,390,254,3896,2021
Archer Heights,5055 S. Archer Ave.,Chicago,60632,1852,1587,1858,1791,1842,2328,2847,2538,2395,2579,2574,2129,26320,2021
Hegewisch,3048 E. 130th St.,Chicago,60633,823,775,1004,960,948,1118,1117,1049,1080,1055,885,701,11515,2021
Independence,4024 N. Elston Ave.,Chicago,60618,5069,4572,5989,5474,5372,6068,6791,6559,5961,6320,6091,5281,69547,2021
Lozano,1805 S. Loomis St.,Chicago,60608,1823,1760,2210,1829,2177,2305,2255,2355,2314,2112,2109,1859,25108,2021
South Shore,2505 E. 73rd St.,Chicago,60649,687,694,893,902,929,1153,1292,1038,975,941,975,927,32150,2021
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,3460,2654,4009,3597,4333,4730,5682,5269,5466,5500,5240,4414,54354,2021
Douglass,3353 W. 13th St.,Chicago,60623,366,273,347,318,393,475,389,410,543,517,358,463,4852,2021
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,7374,7246,8600,8373,8623,9533,9856,9227,9132,9220,9424,8686,105294,2021
Roden,6083 N. Northwest Hwy.,Chicago,60631,3850,3744,4532,3523,4199,4403,4971,4548,3874,4435,4010,3480,52091,2021
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,2877,2234,3398,2727,2518,3090,3322,3186,3356,3192,3037,2618,35555,2021
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,7291,6310,7795,7504,7660,8099,8006,7335,7450,7997,7550,6710,89707,2021
North Pulaski,4300 W. North Ave.,Chicago,60639,876,614,783,720,1020,974,1002,1017,1025,1213,1112,855,18393,2021
McKinley Park,1915 W. 35th St.,Chicago,60609,127,1592,2512,2222,2405,2677,3123,3733,4041,3706,3705,3076,37408,2021
Downloadable Media,,,,217891,202027,202055,191216,195811,189325,193068,198273,180638,181426,177454,187409,2316593,2021
West Pullman,830 W. 119th St.,Chicago,60643,562,344,591,539,581,493,735,682,637,835,668,694,7361,2021
Beverly,1962 W. 95th St.,Chicago,60643,2827,2245,2868,2782,2869,3118,3637,3196,3080,3177,3395,2655,35849,2021
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,344,234,421,420,488,466,479,566,435,458,454,461,5226,2021
Toman,2708 S. Pulaski Rd.,Chicago,60623,1746,1562,2159,1766,1677,1895,2070,1829,2640,2503,2187,1636,23670,2021
Austin,5615 W. Race Ave.,Chicago,60644,680,626,667,549,565,682,581,512,625,611,563,447,7108,2021
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,597,0,447,486,606,791,679,746,740,755,833,607,7287,2021
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,3868,3332,4559,4174,4175,4866,5573,5385,4925,5395,5085,4116,55453,2021
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2396,1917,2867,2457,2364,2265,2615,2504,2627,2498,2602,2120,30188,2021
South Chicago,9055 S. Houston Ave.,Chicago,60617,154,291,628,605,564,721,875,963,861,656,640,738,7885,2021
Clearing,6423 W. 63rd Pl.,Chicago,60638,1667,1262,1465,1517,1579,2025,2072,1754,1714,1696,1830,1603,20184,2021
Merlo,644 W. Belmont Ave.,Chicago,60657,7473,7031,7944,8022,8035,8101,8093,8334,8640,8994,7904,7565,91433,2021
Uptown,929 W. Buena Ave.,Chicago,60613,6972,5496,5671,5047,5163,5812,6126,5643,5797,5623,5343,4768,67461,2021
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1111,902,1264,1184,1452,1661,2000,1634,1509,1895,1563,1380,17555,2021
Harold Washington Library Center,400 S. State Street,Chicago,60605,20965,18837,21898,21220,22635,25011,24932,24348,24256,23970,22693,21046,271811,2021
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1491,1090,1704,1471,1525,1643,1914,1551,200,26,1170,1172,14957,2021
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,155,173,135,111,161,201,225,270,337,346,310,260,2684,2021
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1041,924,1280,1157,1223,1395,1829,1318,1478,1443,1541,1138,15767,2021
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,9936,8912,11336,10740,10787,12202,11856,11427,10767,10886,10992,9308,129149,2021
Gage Park,2807 W. 55th St.,Chicago,60632,0,0,0,0,0,0,18,545,423,669,608,510,2773,2021
Northtown,6800 N. Western Ave.,Chicago,60645,9320,8239,9846,8881,9253,10035,10412,9839,8712,9200,8452,8037,106764,2021
Dunning,7455 W. Cornelia Ave.,Chicago,60634,3229,2701,3431,3092,3034,3721,3820,3373,3073,3151,3008,2564,38197,2021
Bezazian,1226 W. Ainslie St.,Chicago,60640,162,1265,5408,5055,5312,5845,6276,5696,5540,5640,5614,5260,57073,2021
West Loop,122 N. Aberdeen St.,Chicago,60607,3468,3130,3701,3830,3727,4043,4209,4126,3823,4057,3845,3547,45506,2021
Pullman,11001 S. Indiana Ave.,Chicago,60628,222,288,271,302,325,335,342,357,324,365,468,353,7079,2021
Patron Initiated renewals (automated phone),,,,494,691,607,831,807,937,1148,1124,1091,1176,1096,831,10833,2021
Jeffery Manor,2401 E. 100th St.,Chicago,60617,267,178,284,260,41,102,272,326,348,303,464,360,3205,2021
Hall,4801 S. Michigan Ave.,Chicago,60615,6,162,418,469,525,616,712,691,671,632,684,583,6169,2021
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,3330,2750,3261,3392,3230,3845,3746,3663,3176,2951,2862,2862,41816,2021
Coleman,731 E. 63rd St.,Chicago,60637,836,716,883,657,1013,766,1205,1110,1147,1024,988,812,11157,2021
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,4715,4232,5796,4717,5354,6140,6020,5749,5311,5480,4718,4702,62934,2021
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,2020,1681,1909,2071,1939,1589,2162,2056,2173,2220,1872,1636,23328,2021
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,723,659,728,633,638,611,758,753,771,723,869,651,9986,2021
Chicago Bee,3647 S. State St.,Chicago,60609,595,582,506,610,594,704,634,726,777,865,777,521,7891,2021
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1091,1109,1550,1497,1259,1681,2009,1603,1818,1882,1573,1554,18626,2021
Sherman Park,5440 S. Racine Ave.,Chicago,60609,158,199,204,140,174,199,273,253,189,173,159,197,2859,2021
Patron Initiated renewals (online),,,,32827,29852,31102,29174,29518,29278,28197,27596,26360,27854,27557,28679,347994,2021
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,230,262,284,283,188,263,502,524,515,510,516,532,4609,2022
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,674,579,772,651,619,648,835,713,660,703,602,585,8041,2022
Downloadable Media,,,,210184,192686,209752,207739,219205,213283,232207,242096,226457,232472,233684,243533,2663298,2022
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,1891,1810,2255,2429,2264,2207,2150,1960,2021,2257,1970,1788,25002,2022
Beverly,1962 W. 95th St.,Chicago,60643,3164,2673,1250,0,18,1979,3365,3149,3069,2887,2806,2601,26961,2022
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2341,2131,2628,2690,2049,2432,2505,2377,2259,2054,2099,1778,27343,2022
Manning,6 S. Hoyne Ave.,Chicago,60612,574,652,1026,924,1185,1063,1401,1218,1080,976,972,798,11869,2022
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7234,6544,7336,7355,6531,7217,7174,6970,6616,6126,6129,5785,81017,2022
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,3109,3247,3960,3581,3264,3588,3750,3966,3318,3273,3330,3145,41531,2022
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,2996,2710,3272,2979,2403,3115,3489,3309,2879,3210,3199,2353,35914,2022
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1236,1032,1378,1457,1328,1362,1462,1587,1246,1298,1230,951,15567,2022
Edgewater,6000 N. Broadway St.,Chicago,60660,10727,9679,11340,10747,9700,10825,11022,10531,9957,9925,10431,9355,124239,2022
South Shore,2505 E. 73rd St.,Chicago,60649,836,806,950,953,859,867,927,1035,747,970,863,834,10647,2022
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,453,404,478,392,535,593,729,695,557,492,476,649,6453,2022
Hall,4801 S. Michigan Ave.,Chicago,60615,611,532,510,600,732,577,756,783,714,593,421,681,7510,2022
Back of the Yards,2111 W. 47th St.,Chicago,60609,771,836,1141,1244,1048,1254,1117,1232,959,989,790,861,12242,2022
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1472,1214,1611,1465,1271,1423,1903,2191,2381,1879,1614,1469,19893,2022
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2572,2357,2641,2450,2175,2778,2735,2729,2599,2703,2486,2337,30562,2022
Auto-Renewals,,,,511436,445609,516133,504009,559180,512518,530951,555741,516317,588190,557173,539322,6336579,2022
Dunning,7455 W. Cornelia Ave.,Chicago,60634,2971,2868,3669,3378,3286,3986,3897,3797,3308,3221,3386,2744,40511,2022
West Pullman,830 W. 119th St.,Chicago,60643,592,700,686,817,641,750,732,720,900,761,577,578,8454,2022
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,5166,4381,5378,5447,4609,5215,5317,5309,4772,4565,4856,4606,59621,2022
Sherman Park,5440 S. Racine Ave.,Chicago,60609,119,196,224,235,245,197,320,260,301,237,261,262,2857,2022
Altgeld,955 E. 131st St.,Chicago,60827,150,139,179,289,297,198,257,229,314,223,173,193,2641,2022
North Austin,5724 W. North Ave.,Chicago,60639,477,552,513,537,497,541,855,572,661,631,468,428,6732,2022
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1400,1168,1547,1730,1323,1634,1706,1619,1710,1466,1206,956,17465,2022
Near North,310 W. Division St.,Chicago,60610,7192,6226,4761,0,0,1704,295,3514,5555,6073,6155,5285,46760,2022
Water Works,163 E. Pearson Street,Chicago,60611,2506,2130,2934,3719,3810,3914,4136,3739,2926,2869,2801,2826,38310,2022
Uptown,929 W. Buena Ave.,Chicago,60613,5798,4934,6186,4648,0,1351,5432,5789,5401,5119,5124,4925,54707,2022
Patron Initiated renewals (automated phone),,,,890,708,809,615,799,894,676,625,523,744,761,536,8580,2022
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8411,7519,8607,8530,7528,8274,8496,8883,8856,8178,8481,7104,98867,2022
Jeffery Manor,2401 E. 100th St.,Chicago,60617,346,487,508,401,388,537,634,524,422,453,339,296,5335,2022
Albany Park,3401 W. Foster Ave.,Chicago,60625,5561,5082,5921,5671,4666,5392,5985,5697,5316,4955,5416,4824,64486,2022
West Englewood,1745 W. 63rd St.,Chicago,60636,365,379,458,525,358,380,513,414,270,289,355,270,4576,2022
Northtown,6800 N. Western Ave.,Chicago,60645,8393,7872,8881,8586,7833,9470,9487,9052,7637,8452,7857,7668,101188,2022
West Lawn,4020 W. 63rd St.,Chicago,60629,548,1123,1787,2033,1592,1960,2063,1829,2172,1951,1751,1416,20225,2022
King,3436 S. King Dr.,Chicago,60616,1033,959,980,964,1032,929,1157,999,1021,969,1017,880,11940,2022
"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,1275,1279,1348,1306,1282,1194,1245,1414,1262,1176,1062,977,14820,2022
Lozano,1805 S. Loomis St.,Chicago,60608,1952,2025,2542,2248,2027,1909,2223,2323,1955,2037,2045,1716,25002,2022
