BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,11534,10578,12793,10922,9982,,,,,,,,55809,POINT (-87.65814801099998 41.925597019000065)
West Englewood,1745 W. 63rd St.,Chicago,60636,317,299,437,412,394,,,,,,,,1859,POINT (-87.66838499699998 41.77907900500003)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2014,2263,2656,631,314,,,,,,,,7878,POINT (-87.72667803199994 41.80089198600007)
Hegewisch,3048 E. 130th St.,Chicago,60633,913,843,969,950,908,,,,,,,,4583,POINT (-87.54892896299998 41.65940898100007)
Independence,4024 N. Elston Ave.,Chicago,60618,6927,6151,7620,6680,5764,,,,,,,,33142,POINT (-87.72033502699998 41.95412998200004)
Lozano,1805 S. Loomis St.,Chicago,60608,2246,2241,2760,2163,1994,,,,,,,,11404,POINT (-87.66092996499998 41.85762200600004)
South Shore,2505 E. 73rd St.,Chicago,60649,856,778,919,885,771,,,,,,,,4209,POINT (-87.56371799299995 41.76244901600006)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,4299,3882,4704,4587,3650,,,,,,,,21122,POINT (-87.63212899099995 41.85376201400004)
Douglass,3353 W. 13th St.,Chicago,60623,350,323,460,133,152,,,,,,,,1418,POINT (-87.70967805399994 41.864482714000076)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10273,9099,10958,9517,8716,,,,,,,,48563,POINT (-87.70349402299996 41.92508501100008)
Roden,6083 N. Northwest Hwy.,Chicago,60631,4708,4607,5773,4692,4322,,,,,,,,24102,POINT (-87.79802001399997 41.99215398300004)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,0,0,0,,,,,,,,0,POINT (-87.79731647599993 41.921091352000076)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,3168,2993,3190,2826,2748,,,,,,,,14925,POINT (-87.78619901599996 41.936736988000064)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8392,8117,9189,8221,7282,,,,,,,,41201,POINT (-87.68035200799994 41.91256001700003)
North Pulaski,4300 W. North Ave.,Chicago,60639,1316,1027,1389,1184,1051,,,,,,,,5967,POINT (-87.73398202299995 41.91014301100006)
McKinley Park,1915 W. 35th St.,Chicago,60609,2620,2626,3697,2742,2404,,,,,,,,14089,POINT (-87.67359300899994 41.83017198500005)
Downloadable Media,,,,269855,242473,263908,254544,266363,,,,,,,,1297143,
West Pullman,830 W. 119th St.,Chicago,60643,845,783,851,846,615,,,,,,,,3940,POINT (-87.64309696299995 41.678082017000065)
Beverly,1962 W. 95th St.,Chicago,60643,3252,3380,3769,2895,2579,,,,,,,,15875,POINT (-87.67214897399998 41.721352000000024)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,616,530,800,722,633,,,,,,,,3301,POINT (-87.72527699699998 41.87931500000008)
Toman,2708 S. Pulaski Rd.,Chicago,60623,1955,1687,2037,1922,2002,,,,,,,,9603,POINT (-87.72487298899995 41.84206699600003)
Austin,5615 W. Race Ave.,Chicago,60644,690,615,812,842,563,,,,,,,,3522,POINT (-87.76581397599995 41.88902598000004)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,658,683,834,1038,759,,,,,,,,3972,POINT (-87.70250403699998 41.73764801200008)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,5079,5029,6075,4961,4430,,,,,,,,25574,POINT (-87.76198696699998 41.96736198900004)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2433,2421,3050,2494,2556,,,,,,,,12954,POINT (-87.73819501899999 41.96839200000005)
South Chicago,9055 S. Houston Ave.,Chicago,60617,732,828,814,718,570,,,,,,,,3662,POINT (-87.54953597999997 41.73037901600003)
Clearing,6423 W. 63rd Pl.,Chicago,60638,1999,1900,2101,2192,1708,,,,,,,,9900,POINT (-87.78226496999997 41.77645798400005)
Merlo,644 W. Belmont Ave.,Chicago,60657,9580,8280,9868,8925,8544,,,,,,,,45197,POINT (-87.64621896999995 41.94032000000004)
Uptown,929 W. Buena Ave.,Chicago,60613,5335,5244,6125,5591,5606,,,,,,,,27901,POINT (-87.65421103099999 41.958200988000044)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1440,926,1422,1169,980,,,,,,,,5937,POINT (-87.70353903399996 41.78196699000006)
Harold Washington Library Center,400 S. State Street,Chicago,60605,24096,21200,24716,22060,20355,,,,,,,,112427,POINT (-87.62839401499997 41.876313985000024)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1340,1591,1735,1685,1557,,,,,,,,7908,POINT (-87.70319504099996 41.815067000000056)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,657,500,572,468,459,,,,,,,,2656,POINT (-87.74799497199996 41.895320998000045)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1427,1351,1769,1120,1245,,,,,,,,6912,POINT (-87.70482599199994 41.84964000300005)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,10818,9944,11975,9834,9715,,,,,,,,52286,POINT (-87.67089302999995 41.94032398100006)
Gage Park,2807 W. 55th St.,Chicago,60632,753,692,858,690,580,,,,,,,,3573,POINT (-87.69417703499994 41.793441019000056)
Northtown,6800 N. Western Ave.,Chicago,60645,7701,7093,8196,7051,7535,,,,,,,,37576,POINT (-87.69042596599996 42.00547500600004)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,3775,3254,3792,3679,3227,,,,,,,,17727,POINT (-87.81379976199997 41.943288933000076)
Bezazian,1226 W. Ainslie St.,Chicago,60640,6248,5796,6706,6116,5831,,,,,,,,30697,POINT (-87.66075201699994 41.97158198400007)
West Loop,122 N. Aberdeen St.,Chicago,60607,4975,4284,4976,4502,3852,,,,,,,,22589,POINT (-87.65475702799995 41.883784985000034)
Pullman,11001 S. Indiana Ave.,Chicago,60628,411,332,431,349,427,,,,,,,,1950,POINT (-87.61795896499996 41.69437199400005)
Patron Initiated renewals (automated phone),,,,474,338,495,559,285,,,,,,,,2151,
Jeffery Manor,2401 E. 100th St.,Chicago,60617,384,271,593,449,440,,,,,,,,2137,POINT (-87.56553200399998 41.71323701800003)
Hall,4801 S. Michigan Ave.,Chicago,60615,626,562,907,850,594,,,,,,,,3539,POINT (-87.62227597999998 41.807196015000045)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,3760,395,1899,3376,3099,,,,,,,,12529,POINT (-87.70122101899995 41.693149997000035)
Coleman,731 E. 63rd St.,Chicago,60637,944,861,1094,1028,905,,,,,,,,4832,POINT (-87.60683500599998 41.78013499900004)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,5561,5035,5591,4960,4596,,,,,,,,25743,POINT (-87.77955501699995 41.953195986000026)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,2027,2217,2270,1966,1666,,,,,,,,10146,POINT (-87.64280401499997 41.72086698100003)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,569,768,681,650,650,,,,,,,,3318,POINT (-87.65437699299997 41.75737498900003)
Chicago Bee,3647 S. State St.,Chicago,60609,839,806,1021,753,754,,,,,,,,4173,POINT (-87.62622997499994 41.82817399100003)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1488,1852,1985,1879,1545,,,,,,,,8749,POINT (-87.53353098799994 41.702956991000065)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,290,282,310,330,241,,,,,,,,1453,POINT (-87.65514603199995 41.79484800500006)
Patron Initiated renewals (online),,,,27476,25759,27661,26193,28212,,,,,,,,135301,
