BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Northtown,6800 N. Western Ave.,Chicago,60645,8393,7872,,,,,,,,,,,16265,POINT (-87.690175 42.00536)
Walker,11071 S. Hoyne Ave.,Chicago,60643,979,939,,,,,,,,,,,1918,POINT (-87.67426 41.692473)
Little Italy,1336 W. Taylor St.,Chicago,60607,3823,3291,,,,,,,,,,,7114,POINT (-87.660263 41.869359)
Canaryville,642 W. 43rd St.,Chicago,60609,1035,1058,,,,,,,,,,,2093,POINT (-87.642569 41.81627)
Jefferson Park,5363 W. Lawrence Ave.,Chicago,60630,5166,4381,,,,,,,,,,,9547,POINT (-87.761964 41.967648)
Logan Square,3030 W. Fullerton Ave.,Chicago,60647,10060,9199,,,,,,,,,,,19259,POINT (-87.703483 41.924806)
King,3436 S. King Dr.,Chicago,60616,1033,959,,,,,,,,,,,1992,POINT (-87.617335 41.832238)
Independence,4024 N. Elston Ave.,Chicago,60618,6271,5590,,,,,,,,,,,11861,POINT (-87.719889 41.954219)
Water Works,163 E. Pearson Street,Chicago,60611,2506,2130,,,,,,,,,,,4636,POINT (-87.623234 41.897609)
Legler Regional,115 S. Pulaski Rd.,Chicago,60624,453,404,,,,,,,,,,,857,POINT (-87.725593 41.879302)
"Whitney M. Young, Jr.",415 East 79th St.,Chicago,60619,674,579,,,,,,,,,,,1253,POINT (-87.61416 41.751132)
Coleman,731 E. 63rd St.,Chicago,60637,759,751,,,,,,,,,,,1510,POINT (-87.606849 41.780405)
Back of the Yards,2111 W. 47th St.,Chicago,60609,771,836,,,,,,,,,,,1607,POINT (-87.677601 41.808523)
Bucktown-Wicker Park,1701 N. Milwaukee Ave.,Chicago,60647,8411,7519,,,,,,,,,,,15930,POINT (-87.680298 41.912224)
Mayfair,4400 W. Lawrence Ave.,Chicago,60630,2572,2357,,,,,,,,,,,4929,POINT (-87.738155 41.968148)
Blackstone,4904 S. Lake Park Ave.,Chicago,60615,7234,6544,,,,,,,,,,,13778,POINT (-87.590212 41.807619)
Sherman Park,5440 S. Racine Ave.,Chicago,60609,119,196,,,,,,,,,,,315,POINT (-87.65487 41.794843)
Uptown,929 W. Buena Ave.,Chicago,60613,5798,4934,,,,,,,,,,,10732,POINT (-87.654217 41.95846)
Albany Park,3401 W. Foster Ave.,Chicago,60625,5561,5082,,,,,,,,,,,10643,POINT (-87.713595 41.975693)
Patron Initiated renewals (automated phone),,,,890,708,,,,,,,,,,,1598,POINT (-89.148632 40.124144)
Edgebrook,5331 W. Devon Ave.,Chicago,60646,6738,5972,,,,,,,,,,,12710,POINT (-87.76204 41.997245)
Merlo,644 W. Belmont Ave.,Chicago,60657,8823,8172,,,,,,,,,,,16995,POINT (-87.646055 41.940054)
Patron Initiated renewals (online),,,,27720,24876,,,,,,,,,,,52596,POINT (-89.148632 40.124144)
Sulzer Regional Library,4455 N. Lincoln Ave.,Chicago,60625,25207,25276,,,,,,,,,,,50483,POINT (-87.684637 41.962677)
Lozano,1805 S. Loomis St.,Chicago,60608,1952,2025,,,,,,,,,,,3977,POINT (-87.661298 41.857604)
Dunning,7455 W. Cornelia Ave.,Chicago,60634,2971,2868,,,,,,,,,,,5839,POINT (-87.813908 41.94331)
Rogers Park,6907 N. Clark St.,Chicago,60626,6702,5608,,,,,,,,,,,12310,POINT (-87.67344 42.006673)
Lincoln Park,1150 W. Fullerton Ave.,Chicago,60614,11413,10360,,,,,,,,,,,21773,POINT (-87.658126 41.925316)
West Chicago Avenue,4856 W. Chicago Ave.,Chicago,60651,230,262,,,,,,,,,,,492,POINT (-87.747411 41.895019)
