BRANCH,ADDRESS,CITY,ZIP,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD,Location
Near North,310 W. Division St.,Chicago,60610,7192,6226,,,,,,,,,,,13418,POINT (-87.636643 41.903838)
Toman,2708 S. Pulaski Rd.,Chicago,60623,1737,1666,,,,,,,,,,,3403,POINT (-87.724477 41.842073)
Mount Greenwood,11010 S. Kedzie Ave.,Chicago,60655,3335,2902,,,,,,,,,,,6237,POINT (-87.700878 41.692925)
Portage-Cragin,5108 W. Belmont Ave.,Chicago,60641,3109,3247,,,,,,,,,,,6356,POINT (-87.754876 41.938748)
Douglass,3353 W. 13th St.,Chicago,60623,273,447,,,,,,,,,,,720,POINT (-87.709767 41.864527)
Pullman,11001 S. Indiana Ave.,Chicago,60628,282,214,,,,,,,,,,,496,POINT (-87.618295 41.694366)
Avalon,8148 S. Stony Island Ave.,Chicago,60617,1236,1032,,,,,,,,,,,2268,POINT (-87.585869 41.746322)
Budlong Woods,5630 N. Lincoln Ave.,Chicago,60659,5948,5600,,,,,,,,,,,11548,POINT (-87.696439 41.983843)
West Englewood,1745 W. 63rd St.,Chicago,60636,365,379,,,,,,,,,,,744,POINT (-87.66821 41.779364)
West Belmont,3104 N. Narragansett Ave.,Chicago,60634,2996,2710,,,,,,,,,,,5706,POINT (-87.785858 41.936833)
Brighton Park,4314 S. Archer Ave.,Chicago,60632,1394,1321,,,,,,,,,,,2715,POINT (-87.703067 41.814848)
Scottsdale,4101 W. 79th St.,Chicago,60652,1298,1072,,,,,,,,,,,2370,POINT (-87.724291 41.749388)
Talking Book and Braille downloadable,,,,2337,2228,,,,,,,,,,,4565,POINT (-89.148632 40.124144)
Galewood-Mont Clare,6871 W. Belden Ave.,Chicago,60707,0,0,,,,,,,,,,,0,POINT (-87.798468 41.921134)
Clearing,6423 W. 63rd Pl.,Chicago,60638,1712,1563,,,,,,,,,,,3275,POINT (-87.782282 41.7768)
Humboldt Park,1605 N. Troy St.,Chicago,60647,3418,2726,,,,,,,,,,,6144,POINT (-87.705655 41.910536)
Bezazian,1226 W. Ainslie St.,Chicago,60640,6392,5288,,,,,,,,,,,11680,POINT (-87.660739 41.971414)
Manning,6 S. Hoyne Ave.,Chicago,60612,574,652,,,,,,,,,,,1226,POINT (-87.679091 41.881026)
Austin,5615 W. Race Ave.,Chicago,60644,521,576,,,,,,,,,,,1097,POINT (-87.766942 41.889281)
Downloadable Media,,,,210184,192686,,,,,,,,,,,402870,POINT (-89.148632 40.124144)
Thurgood Marshall,7506 S. Racine Ave.,Chicago,60620,786,565,,,,,,,,,,,1351,POINT (-87.65393 41.757373)
Hall,4801 S. Michigan Ave.,Chicago,60615,611,532,,,,,,,,,,,1143,POINT (-87.622776 41.807273)
Kelly,6151 S. Normal Blvd.,Chicago,60621,443,461,,,,,,,,,,,904,POINT (-87.637516 41.78199)
South Shore,2505 E. 73rd St.,Chicago,60649,836,806,,,,,,,,,,,1642,POINT (-87.563672 41.762654)
Little Village,2311 S. Kedzie Ave.,Chicago,60623,1400,1168,,,,,,,,,,,2568,POINT (-87.705179 41.849599)
Brainerd,1350 W. 89th St.,Chicago,60620,255,264,,,,,,,,,,,519,POINT (-87.657726 41.732282)
Woodson Regional Library,9525 S. Halsted St.,Chicago,60628,1891,1810,,,,,,,,,,,3701,POINT (-87.643122 41.720675)
Archer Heights,5055 S. Archer Ave.,Chicago,60632,2341,2131,,,,,,,,,,,4472,POINT (-87.726723 41.801206)
McKinley Park,1915 W. 35th St.,Chicago,60609,3720,3313,,,,,,,,,,,7033,POINT (-87.673442 41.830421)
Harold Washington Library Center,400 S. State Street,Chicago,60605,22510,20712,,,,,,,,,,,43222,POINT (-87.627695 41.876301)
Altgeld,955 E. 131st St.,Chicago,60827,150,139,,,,,,,,,,,289,POINT (-87.5989 41.657262)
West Pullman,830 W. 119th St.,Chicago,60643,592,700,,,,,,,,,,,1292,POINT (-87.643327 41.677819)
Lincoln Belmont,1659 W. Melrose St.,Chicago,60657,12262,1744,,,,,,,,,,,14006,POINT (-87.670433 41.940599)
Auto-Renewals,,,,511436,445609,,,,,,,,,,,957045,POINT (-89.148632 40.124144)
West Town,1625 W. Chicago Ave.,Chicago,60622,4375,3887,,,,,,,,,,,8262,POINT (-87.668233 41.89606)
"Daley, Richard J.- Bridgeport",3400 S. Halsted St.,Chicago,60608,0,0,,,,,,,,,,,0,POINT (-87.646149 41.8327)
West Loop,122 N. Aberdeen St.,Chicago,60607,4213,3663,,,,,,,,,,,7876,POINT (-87.654421 41.883595)
Roden,6083 N. Northwest Hwy.,Chicago,60631,4382,3717,,,,,,,,,,,8099,POINT (-87.798265 41.991862)
Chinatown,2100 S. Wentworth Ave.,Chicago,60616,4795,4258,,,,,,,,,,,9053,POINT (-87.631794 41.854267)
"Daley, Richard M.- W Humboldt",733 N. Kedzie Ave.,Chicago,60612,1275,1279,,,,,,,,,,,2554,POINT (-87.706545 41.894322)
Wrightwood-Ashburn,8530 S. Kedzie Ave.,Chicago,60652,744,581,,,,,,,,,,,1325,POINT (-87.702091 41.738331)
Garfield Ridge,6348 S. Archer Ave.,Chicago,60638,3017,2750,,,,,,,,,,,5767,POINT (-87.780075 41.79286)
Edgewater,6000 N. Broadway St.,Chicago,60660,10727,9679,,,,,,,,,,,20406,POINT (-87.660306 41.990923)
Jeffery Manor,2401 E. 100th St.,Chicago,60617,346,487,,,,,,,,,,,833,POINT (-87.565489 41.713513)
South Chicago,9055 S. Houston Ave.,Chicago,60617,496,528,,,,,,,,,,,1024,POINT (-87.549849 41.730371)
Chicago Bee,3647 S. State St.,Chicago,60609,799,543,,,,,,,,,,,1342,POINT (-87.626436 41.828152)
Hegewisch,3048 E. 130th St.,Chicago,60633,776,756,,,,,,,,,,,1532,POINT (-87.548914 41.659153)
North Austin,5724 W. North Ave.,Chicago,60639,477,552,,,,,,,,,,,1029,POINT (-87.768877 41.909401)
Beverly,1962 W. 95th St.,Chicago,60643,3164,2673,,,,,,,,,,,5837,POINT (-87.672288 41.721148)
West Lawn,4020 W. 63rd St.,Chicago,60629,548,1123,,,,,,,,,,,1671,POINT (-87.723756 41.778629)
Oriole Park,7454 W. Balmoral Ave.,Chicago,60656,4632,4346,,,,,,,,,,,8978,POINT (-87.813329 41.978015)
Austin-Irving,6100 W. Irving Park Rd.,Chicago,60634,5054,4857,,,,,,,,,,,9911,POINT (-87.779388 41.953025)
North Pulaski,4300 W. North Ave.,Chicago,60639,973,782,,,,,,,,,,,1755,POINT (-87.733923 41.909856)
Greater Grand Crossing,1000 E. 73rd St.,Chicago,60619,509,477,,,,,,,,,,,986,POINT (-87.600377 41.762277)
Gage Park,2807 W. 55th St.,Chicago,60632,309,326,,,,,,,,,,,635,POINT (-87.694138 41.793722)
Chicago Lawn,6120 S. Kedzie Ave.,Chicago,60629,1376,1235,,,,,,,,,,,2611,POINT (-87.703231 41.781967)
Vodak-East Side,3710 E. 106th St.,Chicago,60617,1472,1214,,,,,,,,,,,2686,POINT (-87.533513 41.70272)
